,FIPS,year,state,state_po,county,candidatevotes,candidate,party,totalvotes,state_po
190,1127.0,2012,Alabama,AL,Walker,21651.0,Mitt Romney,republican,28521,AL
193,1129.0,2012,Alabama,AL,Washington,5761.0,Mitt Romney,republican,8778,AL
195,1131.0,2012,Alabama,AL,Wilcox,4868.0,Barack Obama,democrat,6551,AL
199,1133.0,2012,Alabama,AL,Winston,8312.0,Mitt Romney,republican,9714,AL
202,2001.0,2012,Alaska,AK,District 1,5899.0,Mitt Romney,republican,7722,AK
205,2002.0,2012,Alaska,AK,District 2,5509.0,Mitt Romney,republican,9058,AK
208,2003.0,2012,Alaska,AK,District 3,3769.0,Mitt Romney,republican,6069,AK
211,2004.0,2012,Alaska,AK,District 4,3586.0,Mitt Romney,republican,6787,AK
214,2005.0,2012,Alaska,AK,District 5,4027.0,Mitt Romney,republican,8143,AK
217,2006.0,2012,Alaska,AK,District 6,5254.0,Mitt Romney,republican,7793,AK
220,2007.0,2012,Alaska,AK,District 7,5247.0,Mitt Romney,republican,7575,AK
223,2008.0,2012,Alaska,AK,District 8,5826.0,Mitt Romney,republican,8242,AK
226,2009.0,2012,Alaska,AK,District 9,5432.0,Mitt Romney,republican,7408,AK
229,2010.0,2012,Alaska,AK,District 10,4928.0,Mitt Romney,republican,6570,AK
232,2011.0,2012,Alaska,AK,District 11,6057.0,Mitt Romney,republican,8631,AK
235,2012.0,2012,Alaska,AK,District 12,4300.0,Mitt Romney,republican,6482,AK
238,2013.0,2012,Alaska,AK,District 13,3078.0,Mitt Romney,republican,5707,AK
241,2014.0,2012,Alaska,AK,District 14,3453.0,Mitt Romney,republican,7068,AK
243,2015.0,2012,Alaska,AK,District 15,3283.0,Barack Obama,democrat,6451,AK
246,2016.0,2012,Alaska,AK,District 16,4013.0,Barack Obama,democrat,7181,AK
249,2017.0,2012,Alaska,AK,District 17,2853.0,Barack Obama,democrat,4589,AK
252,2018.0,2012,Alaska,AK,District 18,4247.0,Barack Obama,democrat,6930,AK
255,2019.0,2012,Alaska,AK,District 19,4126.0,Barack Obama,democrat,8286,AK
259,2020.0,2012,Alaska,AK,District 20,4544.0,Mitt Romney,republican,7964,AK
262,2021.0,2012,Alaska,AK,District 21,5262.0,Mitt Romney,republican,8866,AK
265,2022.0,2012,Alaska,AK,District 22,3445.0,Mitt Romney,republican,6555,AK
268,2023.0,2012,Alaska,AK,District 23,4926.0,Mitt Romney,republican,8370,AK
271,2024.0,2012,Alaska,AK,District 24,3912.0,Mitt Romney,republican,7289,AK
274,2025.0,2012,Alaska,AK,District 25,4569.0,Mitt Romney,republican,8661,AK
277,2026.0,2012,Alaska,AK,District 26,6968.0,Mitt Romney,republican,10491,AK
280,2027.0,2012,Alaska,AK,District 27,6015.0,Mitt Romney,republican,10823,AK
283,2028.0,2012,Alaska,AK,District 28,5882.0,Mitt Romney,republican,8449,AK
286,2029.0,2012,Alaska,AK,District 29,5774.0,Mitt Romney,republican,8011,AK
289,2030.0,2012,Alaska,AK,District 30,5492.0,Mitt Romney,republican,9505,AK
291,2031.0,2012,Alaska,AK,District 31,4679.0,Barack Obama,democrat,9335,AK
294,2032.0,2012,Alaska,AK,District 32,5930.0,Barack Obama,democrat,9528,AK
298,2033.0,2012,Alaska,AK,District 33,4289.0,Mitt Romney,republican,7471,AK
300,2034.0,2012,Alaska,AK,District 34,4662.0,Barack Obama,democrat,8637,AK
304,2035.0,2012,Alaska,AK,District 35,3804.0,Mitt Romney,republican,6932,AK
306,2036.0,2012,Alaska,AK,District 36,3341.0,Barack Obama,democrat,4972,AK
309,2037.0,2012,Alaska,AK,District 37,2631.0,Barack Obama,democrat,4335,AK
312,2038.0,2012,Alaska,AK,District 38,4101.0,Barack Obama,democrat,6814,AK
315,2039.0,2012,Alaska,AK,District 39,3645.0,Barack Obama,democrat,6560,AK
318,2040.0,2012,Alaska,AK,District 40,2717.0,Barack Obama,democrat,4235,AK
324,4001.0,2012,Arizona,AZ,Apache,17147.0,Barack Obama,democrat,25848,AZ
328,4003.0,2012,Arizona,AZ,Cochise,29497.0,Mitt Romney,republican,49003,AZ
330,4005.0,2012,Arizona,AZ,Coconino,29257.0,Barack Obama,democrat,51731,AZ
334,4007.0,2012,Arizona,AZ,Gila,13455.0,Mitt Romney,republican,21528,AZ
337,4009.0,2012,Arizona,AZ,Graham,8076.0,Mitt Romney,republican,11855,AZ
340,4011.0,2012,Arizona,AZ,Greenlee,1592.0,Mitt Romney,republican,2974,AZ
343,4012.0,2012,Arizona,AZ,La Paz,3714.0,Mitt Romney,republican,5717,AZ
346,4013.0,2012,Arizona,AZ,Maricopa,749885.0,Mitt Romney,republican,1376558,AZ
349,4015.0,2012,Arizona,AZ,Mohave,49168.0,Mitt Romney,republican,70010,AZ
352,4017.0,2012,Arizona,AZ,Navajo,19884.0,Mitt Romney,republican,37335,AZ
354,4019.0,2012,Arizona,AZ,Pima,201251.0,Barack Obama,democrat,382250,AZ
358,4021.0,2012,Arizona,AZ,Pinal,62079.0,Mitt Romney,republican,108315,AZ
360,4023.0,2012,Arizona,AZ,Santa Cruz,9486.0,Barack Obama,democrat,13894,AZ
364,4025.0,2012,Arizona,AZ,Yavapai,64468.0,Mitt Romney,republican,100283,AZ
367,4027.0,2012,Arizona,AZ,Yuma,23352.0,Mitt Romney,republican,41953,AZ
370,5001.0,2012,Arkansas,AR,Arkansas,3897.0,Mitt Romney,republican,6494,AR
373,5003.0,2012,Arkansas,AR,Ashley,4867.0,Mitt Romney,republican,7921,AR
376,5005.0,2012,Arkansas,AR,Baxter,13688.0,Mitt Romney,republican,19339,AR
379,5007.0,2012,Arkansas,AR,Benton,54646.0,Mitt Romney,republican,79257,AR
382,5009.0,2012,Arkansas,AR,Boone,11159.0,Mitt Romney,republican,15391,AR
385,5011.0,2012,Arkansas,AR,Bradley,2134.0,Mitt Romney,republican,3652,AR
388,5013.0,2012,Arkansas,AR,Calhoun,1458.0,Mitt Romney,republican,2174,AR
391,5015.0,2012,Arkansas,AR,Carroll,6125.0,Mitt Romney,republican,10183,AR
393,5017.0,2012,Arkansas,AR,Chicot,2649.0,Barack Obama,democrat,4361,AR
397,5019.0,2012,Arkansas,AR,Clark,4343.0,Mitt Romney,republican,8409,AR
400,5021.0,2012,Arkansas,AR,Clay,3225.0,Mitt Romney,republican,5110,AR
403,5023.0,2012,Arkansas,AR,Cleburne,8693.0,Mitt Romney,republican,11647,AR
406,5025.0,2012,Arkansas,AR,Cleveland,2313.0,Mitt Romney,republican,3266,AR
409,5027.0,2012,Arkansas,AR,Columbia,5790.0,Mitt Romney,republican,9455,AR
412,5029.0,2012,Arkansas,AR,Conway,4514.0,Mitt Romney,republican,7730,AR
415,5031.0,2012,Arkansas,AR,Craighead,20350.0,Mitt Romney,republican,31700,AR
418,5033.0,2012,Arkansas,AR,Crawford,15145.0,Mitt Romney,republican,20591,AR
420,5035.0,2012,Arkansas,AR,Crittenden,9487.0,Barack Obama,democrat,16716,AR
424,5037.0,2012,Arkansas,AR,Cross,4269.0,Mitt Romney,republican,6681,AR
427,5039.0,2012,Arkansas,AR,Dallas,1665.0,Mitt Romney,republican,3084,AR
429,5041.0,2012,Arkansas,AR,Desha,2443.0,Barack Obama,democrat,4420,AR
433,5043.0,2012,Arkansas,AR,Drew,3887.0,Mitt Romney,republican,6633,AR
436,5045.0,2012,Arkansas,AR,Faulkner,26722.0,Mitt Romney,republican,41460,AR
439,5047.0,2012,Arkansas,AR,Franklin,4631.0,Mitt Romney,republican,6540,AR
442,5049.0,2012,Arkansas,AR,Fulton,2949.0,Mitt Romney,republican,4522,AR
445,5051.0,2012,Arkansas,AR,Garland,26014.0,Mitt Romney,republican,40728,AR
448,5053.0,2012,Arkansas,AR,Grant,4829.0,Mitt Romney,republican,6479,AR
451,5055.0,2012,Arkansas,AR,Greene,9071.0,Mitt Romney,republican,13761,AR
454,5057.0,2012,Arkansas,AR,Hempstead,4284.0,Mitt Romney,republican,6921,AR
457,5059.0,2012,Arkansas,AR,Hot Spring,7097.0,Mitt Romney,republican,11260,AR
460,5061.0,2012,Arkansas,AR,Howard,2892.0,Mitt Romney,republican,4462,AR
463,5063.0,2012,Arkansas,AR,Independence,8728.0,Mitt Romney,republican,12397,AR
466,5065.0,2012,Arkansas,AR,Izard,3575.0,Mitt Romney,republican,5278,AR
469,5067.0,2012,Arkansas,AR,Jackson,3072.0,Mitt Romney,republican,5347,AR
471,5069.0,2012,Arkansas,AR,Jefferson,17470.0,Barack Obama,democrat,27383,AR
475,5071.0,2012,Arkansas,AR,Johnson,5064.0,Mitt Romney,republican,8098,AR
478,5073.0,2012,Arkansas,AR,Lafayette,1713.0,Mitt Romney,republican,2929,AR
481,5075.0,2012,Arkansas,AR,Lawrence,3536.0,Mitt Romney,republican,5540,AR
483,5077.0,2012,Arkansas,AR,Lee,2107.0,Barack Obama,democrat,3424,AR
487,5079.0,2012,Arkansas,AR,Lincoln,2199.0,Mitt Romney,republican,3726,AR
490,5081.0,2012,Arkansas,AR,Little River,3385.0,Mitt Romney,republican,5051,AR
493,5083.0,2012,Arkansas,AR,Logan,5079.0,Mitt Romney,republican,7331,AR
496,5085.0,2012,Arkansas,AR,Lonoke,17880.0,Mitt Romney,republican,24114,AR
499,5087.0,2012,Arkansas,AR,Madison,4263.0,Mitt Romney,republican,6568,AR
502,5089.0,2012,Arkansas,AR,Marion,4774.0,Mitt Romney,republican,7051,AR
505,5091.0,2012,Arkansas,AR,Miller,10622.0,Mitt Romney,republican,15329,AR
508,5093.0,2012,Arkansas,AR,Mississippi,6603.0,Mitt Romney,republican,13375,AR
511,5095.0,2012,Arkansas,AR,Monroe,1585.0,Mitt Romney,republican,3230,AR
514,5097.0,2012,Arkansas,AR,Montgomery,2369.0,Mitt Romney,republican,3404,AR
517,5099.0,2012,Arkansas,AR,Nevada,1996.0,Mitt Romney,republican,3384,AR
520,5101.0,2012,Arkansas,AR,Newton,2508.0,Mitt Romney,republican,3661,AR
523,5103.0,2012,Arkansas,AR,Ouachita,5521.0,Mitt Romney,republican,10315,AR
526,5105.0,2012,Arkansas,AR,Perry,2581.0,Mitt Romney,republican,3938,AR
528,5107.0,2012,Arkansas,AR,Phillips,5202.0,Barack Obama,democrat,7930,AR
532,5109.0,2012,Arkansas,AR,Pike,2847.0,Mitt Romney,republican,3788,AR
535,5111.0,2012,Arkansas,AR,Poinsett,4974.0,Mitt Romney,republican,7560,AR
538,5113.0,2012,Arkansas,AR,Polk,5955.0,Mitt Romney,republican,7726,AR
541,5115.0,2012,Arkansas,AR,Pope,14763.0,Mitt Romney,republican,20439,AR
544,5117.0,2012,Arkansas,AR,Prairie,2153.0,Mitt Romney,republican,3141,AR
546,5119.0,2012,Arkansas,AR,Pulaski,87248.0,Barack Obama,democrat,159381,AR
550,5121.0,2012,Arkansas,AR,Randolph,3701.0,Mitt Romney,republican,5956,AR
552,5123.0,2012,Arkansas,AR,St. Francis,4910.0,Barack Obama,democrat,8362,AR
556,5125.0,2012,Arkansas,AR,Saline,32963.0,Mitt Romney,republican,47062,AR
559,5127.0,2012,Arkansas,AR,Scott,2631.0,Mitt Romney,republican,3640,AR
562,5129.0,2012,Arkansas,AR,Searcy,2699.0,Mitt Romney,republican,3694,AR
565,5131.0,2012,Arkansas,AR,Sebastian,29169.0,Mitt Romney,republican,43362,AR
568,5133.0,2012,Arkansas,AR,Sevier,3136.0,Mitt Romney,republican,4330,AR
571,5135.0,2012,Arkansas,AR,Sharp,4921.0,Mitt Romney,republican,7283,AR
574,5137.0,2012,Arkansas,AR,Stone,3776.0,Mitt Romney,republican,5354,AR
577,5139.0,2012,Arkansas,AR,Union,10699.0,Mitt Romney,republican,17177,AR
580,5141.0,2012,Arkansas,AR,Van Buren,4365.0,Mitt Romney,republican,6430,AR
583,5143.0,2012,Arkansas,AR,Washington,39688.0,Mitt Romney,republican,70460,AR
586,5145.0,2012,Arkansas,AR,White,20011.0,Mitt Romney,republican,26514,AR
588,5147.0,2012,Arkansas,AR,Woodruff,1340.0,Barack Obama,democrat,2685,AR
592,5149.0,2012,Arkansas,AR,Yell,4042.0,Mitt Romney,republican,5974,AR
594,6001.0,2012,California,CA,Alameda,469684.0,Barack Obama,democrat,595642,CA
597,6003.0,2012,California,CA,Alpine,389.0,Barack Obama,democrat,653,CA
601,6005.0,2012,California,CA,Amador,10281.0,Mitt Romney,republican,17649,CA
604,6007.0,2012,California,CA,Butte,44479.0,Mitt Romney,republican,90752,CA
607,6009.0,2012,California,CA,Calaveras,12365.0,Mitt Romney,republican,21786,CA
610,6011.0,2012,California,CA,Colusa,3601.0,Mitt Romney,republican,6034,CA
612,6013.0,2012,California,CA,Contra Costa,290824.0,Barack Obama,democrat,438226,CA
616,6015.0,2012,California,CA,Del Norte,4614.0,Mitt Romney,republican,8770,CA
619,6017.0,2012,California,CA,El Dorado,50973.0,Mitt Romney,republican,88774,CA
621,6019.0,2012,California,CA,Fresno,129129.0,Barack Obama,democrat,258827,CA
625,6021.0,2012,California,CA,Glenn,5632.0,Mitt Romney,republican,9211,CA
627,6023.0,2012,California,CA,Humboldt,34457.0,Barack Obama,democrat,57470,CA
630,6025.0,2012,California,CA,Imperial,25136.0,Barack Obama,democrat,38565,CA
634,6027.0,2012,California,CA,Inyo,4340.0,Mitt Romney,republican,8036,CA
637,6029.0,2012,California,CA,Kern,126618.0,Mitt Romney,republican,221472,CA
640,6031.0,2012,California,CA,Kings,17671.0,Mitt Romney,republican,31418,CA
642,6033.0,2012,California,CA,Lake,13163.0,Barack Obama,democrat,23391,CA
646,6035.0,2012,California,CA,Lassen,7296.0,Mitt Romney,republican,10683,CA
648,6037.0,2012,California,CA,Los Angeles,2216903.0,Barack Obama,democrat,3181067,CA
652,6039.0,2012,California,CA,Madera,22852.0,Mitt Romney,republican,39866,CA
654,6041.0,2012,California,CA,Marin,99896.0,Barack Obama,democrat,134516,CA
658,6043.0,2012,California,CA,Mariposa,5140.0,Mitt Romney,republican,9000,CA
660,6045.0,2012,California,CA,Mendocino,23193.0,Barack Obama,democrat,35017,CA
663,6047.0,2012,California,CA,Merced,33005.0,Barack Obama,democrat,62057,CA
667,6049.0,2012,California,CA,Modoc,2777.0,Mitt Romney,republican,3986,CA
669,6051.0,2012,California,CA,Mono,2733.0,Barack Obama,democrat,5181,CA
672,6053.0,2012,California,CA,Monterey,82920.0,Barack Obama,democrat,123518,CA
675,6055.0,2012,California,CA,Napa,35870.0,Barack Obama,democrat,56968,CA
679,6057.0,2012,California,CA,Nevada,24986.0,Mitt Romney,republican,51676,CA
682,6059.0,2012,California,CA,Orange,582332.0,Mitt Romney,republican,1122664,CA
685,6061.0,2012,California,CA,Placer,99921.0,Mitt Romney,republican,171322,CA
688,6063.0,2012,California,CA,Plumas,5721.0,Mitt Romney,republican,10047,CA
690,6065.0,2012,California,CA,Riverside,329063.0,Barack Obama,democrat,661907,CA
693,6067.0,2012,California,CA,Sacramento,300503.0,Barack Obama,democrat,516809,CA
696,6069.0,2012,California,CA,San Benito,11276.0,Barack Obama,democrat,19044,CA
699,6071.0,2012,California,CA,San Bernardino,305109.0,Barack Obama,democrat,581517,CA
702,6073.0,2012,California,CA,San Diego,626957.0,Barack Obama,democrat,1192282,CA
705,6075.0,2012,California,CA,San Francisco,301723.0,Barack Obama,democrat,361209,CA
708,6077.0,2012,California,CA,San Joaquin,114121.0,Barack Obama,democrat,204697,CA
711,6079.0,2012,California,CA,San Luis Obispo,61258.0,Barack Obama,democrat,125638,CA
714,6081.0,2012,California,CA,San Mateo,206085.0,Barack Obama,democrat,285720,CA
717,6083.0,2012,California,CA,Santa Barbara,94129.0,Barack Obama,democrat,163320,CA
720,6085.0,2012,California,CA,Santa Clara,450818.0,Barack Obama,democrat,643091,CA
723,6087.0,2012,California,CA,Santa Cruz,90805.0,Barack Obama,democrat,120095,CA
727,6089.0,2012,California,CA,Shasta,48067.0,Mitt Romney,republican,76335,CA
730,6091.0,2012,California,CA,Sierra,1056.0,Mitt Romney,republican,1795,CA
733,6093.0,2012,California,CA,Siskiyou,11077.0,Mitt Romney,republican,19910,CA
735,6095.0,2012,California,CA,Solano,96783.0,Barack Obama,democrat,152444,CA
738,6097.0,2012,California,CA,Sonoma,153942.0,Barack Obama,democrat,216508,CA
741,6099.0,2012,California,CA,Stanislaus,77724.0,Barack Obama,democrat,155369,CA
745,6101.0,2012,California,CA,Sutter,18122.0,Mitt Romney,republican,31026,CA
748,6103.0,2012,California,CA,Tehama,14235.0,Mitt Romney,republican,22977,CA
751,6105.0,2012,California,CA,Trinity,2716.0,Mitt Romney,republican,5674,CA
754,6107.0,2012,California,CA,Tulare,56956.0,Mitt Romney,republican,101100,CA
757,6109.0,2012,California,CA,Tuolumne,13880.0,Mitt Romney,republican,24687,CA
759,6111.0,2012,California,CA,Ventura,170929.0,Barack Obama,democrat,326974,CA
762,6113.0,2012,California,CA,Yolo,48715.0,Barack Obama,democrat,74475,CA
766,6115.0,2012,California,CA,Yuba,11275.0,Mitt Romney,republican,19700,CA
768,8001.0,2012,Colorado,CO,Adams,100649.0,Barack Obama,democrat,176230,CO
771,8003.0,2012,Colorado,CO,Alamosa,3811.0,Barack Obama,democrat,6715,CO
774,8005.0,2012,Colorado,CO,Arapahoe,153905.0,Barack Obama,democrat,285516,CO
778,8007.0,2012,Colorado,CO,Archuleta,3872.0,Mitt Romney,republican,6734,CO
781,8009.0,2012,Colorado,CO,Baca,1559.0,Mitt Romney,republican,2106,CO
784,8011.0,2012,Colorado,CO,Bent,1075.0,Mitt Romney,republican,1942,CO
786,8013.0,2012,Colorado,CO,Boulder,125091.0,Barack Obama,democrat,179499,CO
789,8014.0,2012,Colorado,CO,Broomfield,16966.0,Barack Obama,democrat,32777,CO
792,8015.0,2012,Colorado,CO,Chaffee,5086.0,Barack Obama,democrat,10462,CO
796,8017.0,2012,Colorado,CO,Cheyenne,889.0,Mitt Romney,republican,1093,CO
798,8019.0,2012,Colorado,CO,Clear Creek,3119.0,Barack Obama,democrat,5743,CO
801,8021.0,2012,Colorado,CO,Conejos,2213.0,Barack Obama,democrat,4101,CO
804,8023.0,2012,Colorado,CO,Costilla,1340.0,Barack Obama,democrat,1837,CO
808,8025.0,2012,Colorado,CO,Crowley,924.0,Mitt Romney,republican,1502,CO
811,8027.0,2012,Colorado,CO,Custer,1788.0,Mitt Romney,republican,2715,CO
814,8029.0,2012,Colorado,CO,Delta,10915.0,Mitt Romney,republican,15925,CO
816,8031.0,2012,Colorado,CO,Denver,222018.0,Barack Obama,democrat,301694,CO
820,8033.0,2012,Colorado,CO,Dolores,859.0,Mitt Romney,republican,1245,CO
823,8035.0,2012,Colorado,CO,Douglas,104204.0,Mitt Romney,republican,167781,CO
825,8037.0,2012,Colorado,CO,Eagle,12792.0,Barack Obama,democrat,22668,CO
829,8039.0,2012,Colorado,CO,Elbert,10266.0,Mitt Romney,republican,14178,CO
832,8041.0,2012,Colorado,CO,El Paso,170952.0,Mitt Romney,republican,290175,CO
835,8043.0,2012,Colorado,CO,Fremont,13174.0,Mitt Romney,republican,20416,CO
838,8045.0,2012,Colorado,CO,Garfield,12535.0,Mitt Romney,republican,24408,CO
840,8047.0,2012,Colorado,CO,Gilpin,1892.0,Barack Obama,democrat,3338,CO
844,8049.0,2012,Colorado,CO,Grand,4253.0,Mitt Romney,republican,8187,CO
846,8051.0,2012,Colorado,CO,Gunnison,5044.0,Barack Obama,democrat,8667,CO
850,8053.0,2012,Colorado,CO,Hinsdale,353.0,Mitt Romney,republican,600,CO
852,8055.0,2012,Colorado,CO,Huerfano,1953.0,Barack Obama,democrat,3714,CO
856,8057.0,2012,Colorado,CO,Jackson,600.0,Mitt Romney,republican,848,CO
858,8059.0,2012,Colorado,CO,Jefferson,159296.0,Barack Obama,democrat,311052,CO
862,8061.0,2012,Colorado,CO,Kiowa,677.0,Mitt Romney,republican,821,CO
865,8063.0,2012,Colorado,CO,Kit Carson,2785.0,Mitt Romney,republican,3702,CO
867,8065.0,2012,Colorado,CO,Lake,1839.0,Barack Obama,democrat,3040,CO
870,8067.0,2012,Colorado,CO,La Plata,15489.0,Barack Obama,democrat,29184,CO
873,8069.0,2012,Colorado,CO,Larimer,92747.0,Barack Obama,democrat,180180,CO
876,8071.0,2012,Colorado,CO,Las Animas,3445.0,Barack Obama,democrat,6862,CO
880,8073.0,2012,Colorado,CO,Lincoln,1687.0,Mitt Romney,republican,2287,CO
883,8075.0,2012,Colorado,CO,Logan,6179.0,Mitt Romney,republican,9124,CO
886,8077.0,2012,Colorado,CO,Mesa,47472.0,Mitt Romney,republican,72947,CO
889,8079.0,2012,Colorado,CO,Mineral,344.0,Mitt Romney,republican,650,CO
892,8081.0,2012,Colorado,CO,Moffat,4695.0,Mitt Romney,republican,6168,CO
895,8083.0,2012,Colorado,CO,Montezuma,7401.0,Mitt Romney,republican,12318,CO
898,8085.0,2012,Colorado,CO,Montrose,13552.0,Mitt Romney,republican,20130,CO
901,8087.0,2012,Colorado,CO,Morgan,6602.0,Mitt Romney,republican,10777,CO
904,8089.0,2012,Colorado,CO,Otero,4382.0,Mitt Romney,republican,8192,CO
906,8091.0,2012,Colorado,CO,Ouray,1646.0,Barack Obama,democrat,3202,CO
910,8093.0,2012,Colorado,CO,Park,5236.0,Mitt Romney,republican,9366,CO
913,8095.0,2012,Colorado,CO,Phillips,1637.0,Mitt Romney,republican,2265,CO
915,8097.0,2012,Colorado,CO,Pitkin,6849.0,Barack Obama,democrat,10075,CO
919,8099.0,2012,Colorado,CO,Prowers,3230.0,Mitt Romney,republican,4863,CO
921,8101.0,2012,Colorado,CO,Pueblo,42551.0,Barack Obama,democrat,76194,CO
925,8103.0,2012,Colorado,CO,Rio Blanco,2724.0,Mitt Romney,republican,3369,CO
928,8105.0,2012,Colorado,CO,Rio Grande,2918.0,Mitt Romney,republican,5533,CO
930,8107.0,2012,Colorado,CO,Routt,7547.0,Barack Obama,democrat,13317,CO
933,8109.0,2012,Colorado,CO,Saguache,1864.0,Barack Obama,democrat,2930,CO
