,FIPS,year,state,state_po,county,candidatevotes,candidate,party,totalvotes,state_po
1,1001.0,2012,Alabama,AL,Autauga,17379.0,Mitt Romney,republican,23932,AL
4,1003.0,2012,Alabama,AL,Baldwin,66016.0,Mitt Romney,republican,85338,AL
6,1005.0,2012,Alabama,AL,Barbour,5912.0,Barack Obama,democrat,11509,AL
10,1007.0,2012,Alabama,AL,Bibb,6132.0,Mitt Romney,republican,8420,AL
13,1009.0,2012,Alabama,AL,Blount,20757.0,Mitt Romney,republican,24006,AL
15,1011.0,2012,Alabama,AL,Bullock,4061.0,Barack Obama,democrat,5322,AL
19,1013.0,2012,Alabama,AL,Butler,5087.0,Mitt Romney,republican,9496,AL
22,1015.0,2012,Alabama,AL,Calhoun,30278.0,Mitt Romney,republican,46257,AL
25,1017.0,2012,Alabama,AL,Chambers,7626.0,Mitt Romney,republican,14611,AL
28,1019.0,2012,Alabama,AL,Cherokee,7506.0,Mitt Romney,republican,9779,AL
31,1021.0,2012,Alabama,AL,Chilton,13932.0,Mitt Romney,republican,17462,AL
34,1023.0,2012,Alabama,AL,Choctaw,4152.0,Mitt Romney,republican,7968,AL
37,1025.0,2012,Alabama,AL,Clarke,7470.0,Mitt Romney,republican,13851,AL
40,1027.0,2012,Alabama,AL,Clay,4817.0,Mitt Romney,republican,6662,AL
43,1029.0,2012,Alabama,AL,Cleburne,5272.0,Mitt Romney,republican,6305,AL
46,1031.0,2012,Alabama,AL,Coffee,14666.0,Mitt Romney,republican,19770,AL
49,1033.0,2012,Alabama,AL,Colbert,13936.0,Mitt Romney,republican,23385,AL
51,1035.0,2012,Alabama,AL,Conecuh,3555.0,Barack Obama,democrat,7022,AL
55,1037.0,2012,Alabama,AL,Coosa,3049.0,Mitt Romney,republican,5269,AL
58,1039.0,2012,Alabama,AL,Covington,12153.0,Mitt Romney,republican,15423,AL
61,1041.0,2012,Alabama,AL,Crenshaw,4331.0,Mitt Romney,republican,6418,AL
64,1043.0,2012,Alabama,AL,Cullman,28999.0,Mitt Romney,republican,34457,AL
67,1045.0,2012,Alabama,AL,Dale,13108.0,Mitt Romney,republican,18557,AL
69,1047.0,2012,Alabama,AL,Dallas,14612.0,Barack Obama,democrat,20953,AL
73,1049.0,2012,Alabama,AL,DeKalb,18331.0,Mitt Romney,republican,23863,AL
76,1051.0,2012,Alabama,AL,Elmore,26253.0,Mitt Romney,republican,35485,AL
79,1053.0,2012,Alabama,AL,Escambia,9287.0,Mitt Romney,republican,14869,AL
82,1055.0,2012,Alabama,AL,Etowah,29130.0,Mitt Romney,republican,42530,AL
85,1057.0,2012,Alabama,AL,Fayette,6054.0,Mitt Romney,republican,7946,AL
88,1059.0,2012,Alabama,AL,Franklin,7567.0,Mitt Romney,republican,10859,AL
91,1061.0,2012,Alabama,AL,Geneva,9175.0,Mitt Romney,republican,11320,AL
93,1063.0,2012,Alabama,AL,Greene,4521.0,Barack Obama,democrat,5340,AL
96,1065.0,2012,Alabama,AL,Hale,5411.0,Barack Obama,democrat,8643,AL
100,1067.0,2012,Alabama,AL,Henry,5628.0,Mitt Romney,republican,8760,AL
103,1069.0,2012,Alabama,AL,Houston,29270.0,Mitt Romney,republican,41918,AL
106,1071.0,2012,Alabama,AL,Jackson,14439.0,Mitt Romney,republican,20577,AL
108,1073.0,2012,Alabama,AL,Jefferson,159876.0,Barack Obama,democrat,303918,AL
112,1075.0,2012,Alabama,AL,Lamar,5457.0,Mitt Romney,republican,7166,AL
115,1077.0,2012,Alabama,AL,Lauderdale,23911.0,Mitt Romney,republican,36924,AL
118,1079.0,2012,Alabama,AL,Lawrence,8874.0,Mitt Romney,republican,14112,AL
121,1081.0,2012,Alabama,AL,Lee,32194.0,Mitt Romney,republican,54359,AL
124,1083.0,2012,Alabama,AL,Limestone,25295.0,Mitt Romney,republican,35459,AL
126,1085.0,2012,Alabama,AL,Lowndes,5747.0,Barack Obama,democrat,7521,AL
129,1087.0,2012,Alabama,AL,Macon,9045.0,Barack Obama,democrat,10394,AL
133,1089.0,2012,Alabama,AL,Madison,90884.0,Mitt Romney,republican,155059,AL
135,1091.0,2012,Alabama,AL,Marengo,6167.0,Barack Obama,democrat,11537,AL
139,1093.0,2012,Alabama,AL,Marion,9697.0,Mitt Romney,republican,12105,AL
142,1095.0,2012,Alabama,AL,Marshall,25867.0,Mitt Romney,republican,32566,AL
145,1097.0,2012,Alabama,AL,Mobile,94893.0,Mitt Romney,republican,174864,AL
148,1099.0,2012,Alabama,AL,Monroe,5741.0,Mitt Romney,republican,10708,AL
150,1101.0,2012,Alabama,AL,Montgomery,63085.0,Barack Obama,democrat,101924,AL
154,1103.0,2012,Alabama,AL,Morgan,35391.0,Mitt Romney,republican,49323,AL
156,1105.0,2012,Alabama,AL,Perry,4568.0,Barack Obama,democrat,6099,AL
160,1107.0,2012,Alabama,AL,Pickens,5124.0,Mitt Romney,republican,9611,AL
163,1109.0,2012,Alabama,AL,Pike,7963.0,Mitt Romney,republican,14107,AL
166,1111.0,2012,Alabama,AL,Randolph,7224.0,Mitt Romney,republican,10398,AL
168,1113.0,2012,Alabama,AL,Russell,10500.0,Barack Obama,democrat,18879,AL
172,1115.0,2012,Alabama,AL,St. Clair,29031.0,Mitt Romney,republican,35148,AL
175,1117.0,2012,Alabama,AL,Shelby,71436.0,Mitt Romney,republican,92507,AL
177,1119.0,2012,Alabama,AL,Sumter,5421.0,Barack Obama,democrat,7027,AL
181,1121.0,2012,Alabama,AL,Talladega,19246.0,Mitt Romney,republican,33373,AL
184,1123.0,2012,Alabama,AL,Tallapoosa,12396.0,Mitt Romney,republican,18829,AL
187,1125.0,2012,Alabama,AL,Tuscaloosa,45748.0,Mitt Romney,republican,78590,AL
