,FIPS,year,state,state_po,county,candidatevotes,candidate,party,totalvotes,state_po
100,1067.0,2016,Alabama,AL,Henry,5632.0,Donald Trump,republican,8072,AL
103,1069.0,2016,Alabama,AL,Houston,30728.0,Donald Trump,republican,42639,AL
106,1071.0,2016,Alabama,AL,Jackson,16672.0,Donald Trump,republican,20984,AL
108,1073.0,2016,Alabama,AL,Jefferson,156873.0,Hillary Clinton,democrat,304191,AL
112,1075.0,2016,Alabama,AL,Lamar,5823.0,Donald Trump,republican,6966,AL
115,1077.0,2016,Alabama,AL,Lauderdale,27899.0,Donald Trump,republican,39525,AL
118,1079.0,2016,Alabama,AL,Lawrence,10833.0,Donald Trump,republican,14829,AL
121,1081.0,2016,Alabama,AL,Lee,34617.0,Donald Trump,republican,59191,AL
124,1083.0,2016,Alabama,AL,Limestone,29067.0,Donald Trump,republican,40294,AL
126,1085.0,2016,Alabama,AL,Lowndes,4883.0,Hillary Clinton,democrat,6684,AL
129,1087.0,2016,Alabama,AL,Macon,7566.0,Hillary Clinton,democrat,9140,AL
133,1089.0,2016,Alabama,AL,Madison,89520.0,Donald Trump,republican,163389,AL
135,1091.0,2016,Alabama,AL,Marengo,5615.0,Hillary Clinton,democrat,10994,AL
139,1093.0,2016,Alabama,AL,Marion,11274.0,Donald Trump,republican,12984,AL
142,1095.0,2016,Alabama,AL,Marshall,29233.0,Donald Trump,republican,35316,AL
145,1097.0,2016,Alabama,AL,Mobile,95116.0,Donald Trump,republican,172737,AL
148,1099.0,2016,Alabama,AL,Monroe,5795.0,Donald Trump,republican,10271,AL
150,1101.0,2016,Alabama,AL,Montgomery,58916.0,Hillary Clinton,democrat,95878,AL
154,1103.0,2016,Alabama,AL,Morgan,37486.0,Donald Trump,republican,50644,AL
156,1105.0,2016,Alabama,AL,Perry,3824.0,Hillary Clinton,democrat,5278,AL
160,1107.0,2016,Alabama,AL,Pickens,5456.0,Donald Trump,republican,9542,AL
163,1109.0,2016,Alabama,AL,Pike,7693.0,Donald Trump,republican,13168,AL
166,1111.0,2016,Alabama,AL,Randolph,7705.0,Donald Trump,republican,10187,AL
168,1113.0,2016,Alabama,AL,Russell,9579.0,Hillary Clinton,democrat,19256,AL
172,1115.0,2016,Alabama,AL,St. Clair,31651.0,Donald Trump,republican,38400,AL
175,1117.0,2016,Alabama,AL,Shelby,73020.0,Donald Trump,republican,101254,AL
177,1119.0,2016,Alabama,AL,Sumter,4746.0,Hillary Clinton,democrat,6411,AL
181,1121.0,2016,Alabama,AL,Talladega,20614.0,Donald Trump,republican,33407,AL
184,1123.0,2016,Alabama,AL,Tallapoosa,13594.0,Donald Trump,republican,19486,AL
187,1125.0,2016,Alabama,AL,Tuscaloosa,47723.0,Donald Trump,republican,82700,AL
190,1127.0,2016,Alabama,AL,Walker,24266.0,Donald Trump,republican,29472,AL
193,1129.0,2016,Alabama,AL,Washington,6042.0,Donald Trump,republican,8533,AL
195,1131.0,2016,Alabama,AL,Wilcox,4339.0,Hillary Clinton,democrat,6118,AL
199,1133.0,2016,Alabama,AL,Winston,9228.0,Donald Trump,republican,10313,AL
202,2001.0,2016,Alaska,AK,District 1,3180.0,Donald Trump,republican,6638,AK
205,2002.0,2016,Alaska,AK,District 2,3188.0,Donald Trump,republican,5492,AK
208,2003.0,2016,Alaska,AK,District 3,5403.0,Donald Trump,republican,7613,AK
210,2004.0,2016,Alaska,AK,District 4,4162.0,Hillary Clinton,democrat,9521,AK
214,2005.0,2016,Alaska,AK,District 5,3683.0,Donald Trump,republican,7906,AK
217,2006.0,2016,Alaska,AK,District 6,4929.0,Donald Trump,republican,8460,AK
220,2007.0,2016,Alaska,AK,District 7,5935.0,Donald Trump,republican,8294,AK
223,2008.0,2016,Alaska,AK,District 8,6126.0,Donald Trump,republican,8073,AK
226,2009.0,2016,Alaska,AK,District 9,6100.0,Donald Trump,republican,8954,AK
229,2010.0,2016,Alaska,AK,District 10,6255.0,Donald Trump,republican,9040,AK
232,2011.0,2016,Alaska,AK,District 11,6444.0,Donald Trump,republican,9689,AK
235,2012.0,2016,Alaska,AK,District 12,6629.0,Donald Trump,republican,9543,AK
238,2013.0,2016,Alaska,AK,District 13,4028.0,Donald Trump,republican,6533,AK
241,2014.0,2016,Alaska,AK,District 14,5978.0,Donald Trump,republican,10420,AK
244,2015.0,2016,Alaska,AK,District 15,2525.0,Donald Trump,republican,4982,AK
246,2016.0,2016,Alaska,AK,District 16,3294.0,Hillary Clinton,democrat,7436,AK
249,2017.0,2016,Alaska,AK,District 17,3290.0,Hillary Clinton,democrat,6788,AK
252,2018.0,2016,Alaska,AK,District 18,3909.0,Hillary Clinton,democrat,7402,AK
255,2019.0,2016,Alaska,AK,District 19,2669.0,Hillary Clinton,democrat,4792,AK
258,2020.0,2016,Alaska,AK,District 20,4151.0,Hillary Clinton,democrat,7140,AK
261,2021.0,2016,Alaska,AK,District 21,4224.0,Hillary Clinton,democrat,8647,AK
265,2022.0,2016,Alaska,AK,District 22,4203.0,Donald Trump,republican,8372,AK
268,2023.0,2016,Alaska,AK,District 23,3246.0,Donald Trump,republican,6924,AK
271,2024.0,2016,Alaska,AK,District 24,4709.0,Donald Trump,republican,9080,AK
274,2025.0,2016,Alaska,AK,District 25,3816.0,Donald Trump,republican,8127,AK
277,2026.0,2016,Alaska,AK,District 26,4548.0,Donald Trump,republican,8905,AK
280,2027.0,2016,Alaska,AK,District 27,4085.0,Donald Trump,republican,8783,AK
283,2028.0,2016,Alaska,AK,District 28,5423.0,Donald Trump,republican,11427,AK
286,2029.0,2016,Alaska,AK,District 29,6347.0,Donald Trump,republican,9394,AK
289,2030.0,2016,Alaska,AK,District 30,6194.0,Donald Trump,republican,8950,AK
292,2031.0,2016,Alaska,AK,District 31,5617.0,Donald Trump,republican,10182,AK
295,2032.0,2016,Alaska,AK,District 32,3764.0,Donald Trump,republican,7472,AK
297,2033.0,2016,Alaska,AK,District 33,5978.0,Hillary Clinton,democrat,9934,AK
300,2034.0,2016,Alaska,AK,District 34,4220.0,Hillary Clinton,democrat,9431,AK
304,2035.0,2016,Alaska,AK,District 35,4105.0,Donald Trump,republican,9042,AK
307,2036.0,2016,Alaska,AK,District 36,4460.0,Donald Trump,republican,8264,AK
309,2037.0,2016,Alaska,AK,District 37,2421.0,Hillary Clinton,democrat,5062,AK
312,2038.0,2016,Alaska,AK,District 38,2758.0,Hillary Clinton,democrat,5095,AK
315,2039.0,2016,Alaska,AK,District 39,3142.0,Hillary Clinton,democrat,5639,AK
318,2040.0,2016,Alaska,AK,District 40,2338.0,Hillary Clinton,democrat,4610,AK
321,2099.0,2016,Alaska,,District 99,274.0,Hillary Clinton,democrat,5056,
324,4001.0,2016,Arizona,AZ,Apache,17083.0,Hillary Clinton,democrat,27661,AZ
328,4003.0,2016,Arizona,AZ,Cochise,28092.0,Donald Trump,republican,50015,AZ
330,4005.0,2016,Arizona,AZ,Coconino,32404.0,Hillary Clinton,democrat,59784,AZ
334,4007.0,2016,Arizona,AZ,Gila,14182.0,Donald Trump,republican,36697,AZ
337,4009.0,2016,Arizona,AZ,Graham,8025.0,Donald Trump,republican,20306,AZ
340,4011.0,2016,Arizona,AZ,Greenlee,1892.0,Donald Trump,republican,5192,AZ
343,4012.0,2016,Arizona,AZ,La Paz,4003.0,Donald Trump,republican,5951,AZ
346,4013.0,2016,Arizona,AZ,Maricopa,747361.0,Donald Trump,republican,1567834,AZ
349,4015.0,2016,Arizona,AZ,Mohave,58282.0,Donald Trump,republican,79943,AZ
352,4017.0,2016,Arizona,AZ,Navajo,20577.0,Donald Trump,republican,40294,AZ
354,4019.0,2016,Arizona,AZ,Pima,224661.0,Hillary Clinton,democrat,421640,AZ
358,4021.0,2016,Arizona,AZ,Pinal,72819.0,Donald Trump,republican,129546,AZ
360,4023.0,2016,Arizona,AZ,Santa Cruz,11690.0,Hillary Clinton,democrat,16433,AZ
364,4025.0,2016,Arizona,AZ,Yavapai,71330.0,Donald Trump,republican,114450,AZ
367,4027.0,2016,Arizona,AZ,Yuma,25165.0,Donald Trump,republican,53010,AZ
370,5001.0,2016,Arkansas,AR,Arkansas,3826.0,Donald Trump,republican,6212,AR
373,5003.0,2016,Arkansas,AR,Ashley,5338.0,Donald Trump,republican,8083,AR
376,5005.0,2016,Arkansas,AR,Baxter,14682.0,Donald Trump,republican,19766,AR
379,5007.0,2016,Arkansas,AR,Benton,60871.0,Donald Trump,republican,96824,AR
382,5009.0,2016,Arkansas,AR,Boone,12235.0,Donald Trump,republican,16111,AR
385,5011.0,2016,Arkansas,AR,Bradley,2164.0,Donald Trump,republican,3653,AR
388,5013.0,2016,Arkansas,AR,Calhoun,1556.0,Donald Trump,republican,2269,AR
391,5015.0,2016,Arkansas,AR,Carroll,6786.0,Donald Trump,republican,10758,AR
393,5017.0,2016,Arkansas,AR,Chicot,2350.0,Hillary Clinton,democrat,4176,AR
397,5019.0,2016,Arkansas,AR,Clark,4404.0,Donald Trump,republican,8526,AR
400,5021.0,2016,Arkansas,AR,Clay,3781.0,Donald Trump,republican,5200,AR
403,5023.0,2016,Arkansas,AR,Cleburne,9458.0,Donald Trump,republican,12085,AR
406,5025.0,2016,Arkansas,AR,Cleveland,2462.0,Donald Trump,republican,3354,AR
409,5027.0,2016,Arkansas,AR,Columbia,5456.0,Donald Trump,republican,8887,AR
412,5029.0,2016,Arkansas,AR,Conway,4849.0,Donald Trump,republican,7927,AR
415,5031.0,2016,Arkansas,AR,Craighead,22892.0,Donald Trump,republican,35573,AR
418,5033.0,2016,Arkansas,AR,Crawford,16686.0,Donald Trump,republican,22450,AR
420,5035.0,2016,Arkansas,AR,Crittenden,8410.0,Hillary Clinton,democrat,15952,AR
424,5037.0,2016,Arkansas,AR,Cross,4584.0,Donald Trump,republican,6874,AR
427,5039.0,2016,Arkansas,AR,Dallas,1509.0,Donald Trump,republican,2771,AR
429,5041.0,2016,Arkansas,AR,Desha,2228.0,Hillary Clinton,democrat,4257,AR
433,5043.0,2016,Arkansas,AR,Drew,3968.0,Donald Trump,republican,6595,AR
436,5045.0,2016,Arkansas,AR,Faulkner,29346.0,Donald Trump,republican,47527,AR
439,5047.0,2016,Arkansas,AR,Franklin,5039.0,Donald Trump,republican,6770,AR
442,5049.0,2016,Arkansas,AR,Fulton,3471.0,Donald Trump,republican,4772,AR
445,5051.0,2016,Arkansas,AR,Garland,26087.0,Donald Trump,republican,40805,AR
448,5053.0,2016,Arkansas,AR,Grant,5725.0,Donald Trump,republican,7445,AR
451,5055.0,2016,Arkansas,AR,Greene,10720.0,Donald Trump,republican,14600,AR
454,5057.0,2016,Arkansas,AR,Hempstead,4401.0,Donald Trump,republican,7049,AR
457,5059.0,2016,Arkansas,AR,Hot Spring,8172.0,Donald Trump,republican,11944,AR
460,5061.0,2016,Arkansas,AR,Howard,3157.0,Donald Trump,republican,4674,AR
463,5063.0,2016,Arkansas,AR,Independence,9936.0,Donald Trump,republican,13614,AR
466,5065.0,2016,Arkansas,AR,Izard,4042.0,Donald Trump,republican,5448,AR
469,5067.0,2016,Arkansas,AR,Jackson,3267.0,Donald Trump,republican,5156,AR
471,5069.0,2016,Arkansas,AR,Jefferson,15772.0,Hillary Clinton,democrat,25894,AR
475,5071.0,2016,Arkansas,AR,Johnson,6091.0,Donald Trump,republican,9112,AR
478,5073.0,2016,Arkansas,AR,Lafayette,1758.0,Donald Trump,republican,2860,AR
481,5075.0,2016,Arkansas,AR,Lawrence,4064.0,Donald Trump,republican,5685,AR
483,5077.0,2016,Arkansas,AR,Lee,1735.0,Hillary Clinton,democrat,3026,AR
487,5079.0,2016,Arkansas,AR,Lincoln,2455.0,Donald Trump,republican,3826,AR
490,5081.0,2016,Arkansas,AR,Little River,3605.0,Donald Trump,republican,5227,AR
493,5083.0,2016,Arkansas,AR,Logan,5746.0,Donald Trump,republican,7921,AR
496,5085.0,2016,Arkansas,AR,Lonoke,19958.0,Donald Trump,republican,27100,AR
499,5087.0,2016,Arkansas,AR,Madison,4928.0,Donald Trump,republican,6841,AR
502,5089.0,2016,Arkansas,AR,Marion,5336.0,Donald Trump,republican,7107,AR
505,5091.0,2016,Arkansas,AR,Miller,11294.0,Donald Trump,republican,16091,AR
508,5093.0,2016,Arkansas,AR,Mississippi,7061.0,Donald Trump,republican,13204,AR
511,5095.0,2016,Arkansas,AR,Monroe,1489.0,Donald Trump,republican,2884,AR
514,5097.0,2016,Arkansas,AR,Montgomery,2643.0,Donald Trump,republican,3559,AR
517,5099.0,2016,Arkansas,AR,Nevada,2000.0,Donald Trump,republican,3246,AR
520,5101.0,2016,Arkansas,AR,Newton,2875.0,Donald Trump,republican,3753,AR
523,5103.0,2016,Arkansas,AR,Ouachita,5351.0,Donald Trump,republican,9935,AR
526,5105.0,2016,Arkansas,AR,Perry,3008.0,Donald Trump,republican,4306,AR
528,5107.0,2016,Arkansas,AR,Phillips,4310.0,Hillary Clinton,democrat,6953,AR
532,5109.0,2016,Arkansas,AR,Pike,3150.0,Donald Trump,republican,3981,AR
535,5111.0,2016,Arkansas,AR,Poinsett,5502.0,Donald Trump,republican,7722,AR
538,5113.0,2016,Arkansas,AR,Polk,6618.0,Donald Trump,republican,8231,AR
541,5115.0,2016,Arkansas,AR,Pope,16256.0,Donald Trump,republican,22569,AR
544,5117.0,2016,Arkansas,AR,Prairie,2505.0,Donald Trump,republican,3444,AR
546,5119.0,2016,Arkansas,AR,Pulaski,89574.0,Hillary Clinton,democrat,159776,AR
550,5121.0,2016,Arkansas,AR,Randolph,4509.0,Donald Trump,republican,6379,AR
552,5123.0,2016,Arkansas,AR,St. Francis,4031.0,Hillary Clinton,democrat,7430,AR
556,5125.0,2016,Arkansas,AR,Saline,35863.0,Donald Trump,republican,52100,AR
559,5127.0,2016,Arkansas,AR,Scott,2731.0,Donald Trump,republican,3510,AR
562,5129.0,2016,Arkansas,AR,Searcy,2955.0,Donald Trump,republican,3728,AR
565,5131.0,2016,Arkansas,AR,Sebastian,29127.0,Donald Trump,republican,44637,AR
568,5133.0,2016,Arkansas,AR,Sevier,3282.0,Donald Trump,republican,4562,AR
571,5135.0,2016,Arkansas,AR,Sharp,5407.0,Donald Trump,republican,7249,AR
574,5137.0,2016,Arkansas,AR,Stone,4113.0,Donald Trump,republican,5618,AR
577,5139.0,2016,Arkansas,AR,Union,10456.0,Donald Trump,republican,16894,AR
580,5141.0,2016,Arkansas,AR,Van Buren,5382.0,Donald Trump,republican,7339,AR
583,5143.0,2016,Arkansas,AR,Washington,41476.0,Donald Trump,republican,81861,AR
586,5145.0,2016,Arkansas,AR,White,21077.0,Donald Trump,republican,27219,AR
589,5147.0,2016,Arkansas,AR,Woodruff,1347.0,Donald Trump,republican,2571,AR
592,5149.0,2016,Arkansas,AR,Yell,4608.0,Donald Trump,republican,6439,AR
594,6001.0,2016,California,CA,Alameda,514842.0,Hillary Clinton,democrat,654266,CA
597,6003.0,2016,California,CA,Alpine,334.0,Hillary Clinton,democrat,602,CA
601,6005.0,2016,California,CA,Amador,10485.0,Donald Trump,republican,17734,CA
604,6007.0,2016,California,CA,Butte,45144.0,Donald Trump,republican,95564,CA
607,6009.0,2016,California,CA,Calaveras,13511.0,Donald Trump,republican,23136,CA
610,6011.0,2016,California,CA,Colusa,3551.0,Donald Trump,republican,6632,CA
612,6013.0,2016,California,CA,Contra Costa,319287.0,Hillary Clinton,democrat,466175,CA
616,6015.0,2016,California,CA,Del Norte,5134.0,Donald Trump,republican,9558,CA
619,6017.0,2016,California,CA,El Dorado,49247.0,Donald Trump,republican,93591,CA
621,6019.0,2016,California,CA,Fresno,141341.0,Hillary Clinton,democrat,282319,CA
625,6021.0,2016,California,CA,Glenn,5788.0,Donald Trump,republican,9470,CA
627,6023.0,2016,California,CA,Humboldt,33200.0,Hillary Clinton,democrat,59246,CA
630,6025.0,2016,California,CA,Imperial,32667.0,Hillary Clinton,democrat,48091,CA
634,6027.0,2016,California,CA,Inyo,4248.0,Donald Trump,republican,8086,CA
637,6029.0,2016,California,CA,Kern,129584.0,Donald Trump,republican,244163,CA
640,6031.0,2016,California,CA,Kings,18093.0,Donald Trump,republican,33915,CA
642,6033.0,2016,California,CA,Lake,11496.0,Hillary Clinton,democrat,24496,CA
646,6035.0,2016,California,CA,Lassen,7574.0,Donald Trump,republican,10524,CA
648,6037.0,2016,California,CA,Los Angeles,2464364.0,Hillary Clinton,democrat,3434308,CA
652,6039.0,2016,California,CA,Madera,23357.0,Donald Trump,republican,43112,CA
654,6041.0,2016,California,CA,Marin,108707.0,Hillary Clinton,democrat,139273,CA
658,6043.0,2016,California,CA,Mariposa,5185.0,Donald Trump,republican,8877,CA
660,6045.0,2016,California,CA,Mendocino,22079.0,Hillary Clinton,democrat,37477,CA
663,6047.0,2016,California,CA,Merced,37317.0,Hillary Clinton,democrat,70789,CA
667,6049.0,2016,California,CA,Modoc,2696.0,Donald Trump,republican,3788,CA
669,6051.0,2016,California,CA,Mono,2773.0,Hillary Clinton,democrat,5276,CA
672,6053.0,2016,California,CA,Monterey,89088.0,Hillary Clinton,democrat,133408,CA
675,6055.0,2016,California,CA,Napa,39199.0,Hillary Clinton,democrat,61372,CA
678,6057.0,2016,California,CA,Nevada,26053.0,Hillary Clinton,democrat,54935,CA
681,6059.0,2016,California,CA,Orange,609961.0,Hillary Clinton,democrat,1197521,CA
685,6061.0,2016,California,CA,Placer,95138.0,Donald Trump,republican,182839,CA
688,6063.0,2016,California,CA,Plumas,5420.0,Donald Trump,republican,9676,CA
690,6065.0,2016,California,CA,Riverside,373695.0,Hillary Clinton,democrat,751391,CA
693,6067.0,2016,California,CA,Sacramento,326023.0,Hillary Clinton,democrat,559330,CA
696,6069.0,2016,California,CA,San Benito,12521.0,Hillary Clinton,democrat,21924,CA
699,6071.0,2016,California,CA,San Bernardino,340833.0,Hillary Clinton,democrat,653983,CA
702,6073.0,2016,California,CA,San Diego,735476.0,Hillary Clinton,democrat,1306400,CA
705,6075.0,2016,California,CA,San Francisco,345084.0,Hillary Clinton,democrat,405792,CA
708,6077.0,2016,California,CA,San Joaquin,121124.0,Hillary Clinton,democrat,224166,CA
711,6079.0,2016,California,CA,San Luis Obispo,67107.0,Hillary Clinton,democrat,135009,CA
714,6081.0,2016,California,CA,San Mateo,237882.0,Hillary Clinton,democrat,314384,CA
717,6083.0,2016,California,CA,Santa Barbara,107142.0,Hillary Clinton,democrat,176786,CA
720,6085.0,2016,California,CA,Santa Clara,511684.0,Hillary Clinton,democrat,703709,CA
723,6087.0,2016,California,CA,Santa Cruz,95249.0,Hillary Clinton,democrat,128821,CA
727,6089.0,2016,California,CA,Shasta,51778.0,Donald Trump,republican,80053,CA
730,6091.0,2016,California,CA,Sierra,1048.0,Donald Trump,republican,1830,CA
733,6093.0,2016,California,CA,Siskiyou,11341.0,Donald Trump,republican,20492,CA
735,6095.0,2016,California,CA,Solano,102360.0,Hillary Clinton,democrat,166113,CA
738,6097.0,2016,California,CA,Sonoma,160435.0,Hillary Clinton,democrat,231253,CA
741,6099.0,2016,California,CA,Stanislaus,81647.0,Hillary Clinton,democrat,172146,CA
745,6101.0,2016,California,CA,Sutter,18176.0,Donald Trump,republican,33523,CA
748,6103.0,2016,California,CA,Tehama,15494.0,Donald Trump,republican,23908,CA
751,6105.0,2016,California,CA,Trinity,2812.0,Donald Trump,republican,5686,CA
754,6107.0,2016,California,CA,Tulare,58299.0,Donald Trump,republican,112334,CA
757,6109.0,2016,California,CA,Tuolumne,14551.0,Donald Trump,republican,25529,CA
759,6111.0,2016,California,CA,Ventura,194402.0,Hillary Clinton,democrat,351726,CA
762,6113.0,2016,California,CA,Yolo,54752.0,Hillary Clinton,democrat,82090,CA
766,6115.0,2016,California,CA,Yuba,13170.0,Donald Trump,republican,22998,CA
768,8001.0,2016,Colorado,CO,Adams,96558.0,Hillary Clinton,democrat,193665,CO
771,8003.0,2016,Colorado,CO,Alamosa,3189.0,Hillary Clinton,democrat,6939,CO
774,8005.0,2016,Colorado,CO,Arapahoe,159885.0,Hillary Clinton,democrat,303046,CO
778,8007.0,2016,Colorado,CO,Archuleta,4264.0,Donald Trump,republican,7339,CO
781,8009.0,2016,Colorado,CO,Baca,1753.0,Donald Trump,republican,2153,CO
784,8011.0,2016,Colorado,CO,Bent,1188.0,Donald Trump,republican,1927,CO
786,8013.0,2016,Colorado,CO,Boulder,132334.0,Hillary Clinton,democrat,188142,CO
789,8014.0,2016,Colorado,CO,Broomfield,19731.0,Hillary Clinton,democrat,37689,CO
793,8015.0,2016,Colorado,CO,Chaffee,5391.0,Donald Trump,republican,11250,CO
796,8017.0,2016,Colorado,CO,Cheyenne,925.0,Donald Trump,republican,1102,CO
798,8019.0,2016,Colorado,CO,Clear Creek,2729.0,Hillary Clinton,democrat,5866,CO
802,8021.0,2016,Colorado,CO,Conejos,1914.0,Donald Trump,republican,4022,CO
804,8023.0,2016,Colorado,CO,Costilla,1125.0,Hillary Clinton,democrat,1848,CO
808,8025.0,2016,Colorado,CO,Crowley,1079.0,Donald Trump,republican,1527,CO
811,8027.0,2016,Colorado,CO,Custer,2061.0,Donald Trump,republican,3066,CO
814,8029.0,2016,Colorado,CO,Delta,11655.0,Donald Trump,republican,16790,CO
816,8031.0,2016,Colorado,CO,Denver,244551.0,Hillary Clinton,democrat,331852,CO
820,8033.0,2016,Colorado,CO,Dolores,944.0,Donald Trump,republican,1255,CO
823,8035.0,2016,Colorado,CO,Douglas,102573.0,Donald Trump,republican,187499,CO
825,8037.0,2016,Colorado,CO,Eagle,14099.0,Hillary Clinton,democrat,25223,CO
829,8039.0,2016,Colorado,CO,Elbert,11705.0,Donald Trump,republican,15978,CO
832,8041.0,2016,Colorado,CO,El Paso,179228.0,Donald Trump,republican,318967,CO
835,8043.0,2016,Colorado,CO,Fremont,15122.0,Donald Trump,republican,21973,CO
838,8045.0,2016,Colorado,CO,Garfield,13132.0,Donald Trump,republican,26470,CO
840,8047.0,2016,Colorado,CO,Gilpin,1634.0,Hillary Clinton,democrat,3576,CO
844,8049.0,2016,Colorado,CO,Grand,4494.0,Donald Trump,republican,8588,CO
846,8051.0,2016,Colorado,CO,Gunnison,5128.0,Hillary Clinton,democrat,9412,CO
850,8053.0,2016,Colorado,CO,Hinsdale,339.0,Donald Trump,republican,589,CO
853,8055.0,2016,Colorado,CO,Huerfano,1883.0,Donald Trump,republican,3783,CO
856,8057.0,2016,Colorado,CO,Jackson,629.0,Donald Trump,republican,861,CO
858,8059.0,2016,Colorado,CO,Jefferson,160776.0,Hillary Clinton,democrat,328882,CO
862,8061.0,2016,Colorado,CO,Kiowa,728.0,Donald Trump,republican,855,CO
865,8063.0,2016,Colorado,CO,Kit Carson,2967.0,Donald Trump,republican,3702,CO
867,8065.0,2016,Colorado,CO,Lake,1616.0,Hillary Clinton,democrat,3199,CO
870,8067.0,2016,Colorado,CO,La Plata,15525.0,Hillary Clinton,democrat,31150,CO
873,8069.0,2016,Colorado,CO,Larimer,93113.0,Hillary Clinton,democrat,195980,CO
877,8071.0,2016,Colorado,CO,Las Animas,3710.0,Donald Trump,republican,6793,CO
880,8073.0,2016,Colorado,CO,Lincoln,1892.0,Donald Trump,republican,2436,CO
883,8075.0,2016,Colorado,CO,Logan,7282.0,Donald Trump,republican,9722,CO
886,8077.0,2016,Colorado,CO,Mesa,49779.0,Donald Trump,republican,77653,CO
889,8079.0,2016,Colorado,CO,Mineral,344.0,Donald Trump,republican,652,CO
892,8081.0,2016,Colorado,CO,Moffat,5305.0,Donald Trump,republican,6525,CO
895,8083.0,2016,Colorado,CO,Montezuma,7853.0,Donald Trump,republican,12858,CO
898,8085.0,2016,Colorado,CO,Montrose,14382.0,Donald Trump,republican,21186,CO
901,8087.0,2016,Colorado,CO,Morgan,8145.0,Donald Trump,republican,11960,CO
904,8089.0,2016,Colorado,CO,Otero,4928.0,Donald Trump,republican,8452,CO
906,8091.0,2016,Colorado,CO,Ouray,1697.0,Hillary Clinton,democrat,3310,CO
910,8093.0,2016,Colorado,CO,Park,6135.0,Donald Trump,republican,10417,CO
913,8095.0,2016,Colorado,CO,Phillips,1791.0,Donald Trump,republican,2332,CO
915,8097.0,2016,Colorado,CO,Pitkin,7333.0,Hillary Clinton,democrat,10523,CO
919,8099.0,2016,Colorado,CO,Prowers,3531.0,Donald Trump,republican,5016,CO
922,8101.0,2016,Colorado,CO,Pueblo,36265.0,Donald Trump,republican,78646,CO
925,8103.0,2016,Colorado,CO,Rio Blanco,2791.0,Donald Trump,republican,3450,CO
928,8105.0,2016,Colorado,CO,Rio Grande,3085.0,Donald Trump,republican,5534,CO
930,8107.0,2016,Colorado,CO,Routt,7600.0,Hillary Clinton,democrat,13986,CO
933,8109.0,2016,Colorado,CO,Saguache,1417.0,Hillary Clinton,democrat,2835,CO
