,FIPS,year,state,state_po,county,candidatevotes,candidate,party,totalvotes,state_po
1,1001.0,2016,Alabama,AL,Autauga,18172.0,Donald Trump,republican,24973,AL
4,1003.0,2016,Alabama,AL,Baldwin,72883.0,Donald Trump,republican,95215,AL
7,1005.0,2016,Alabama,AL,Barbour,5454.0,Donald Trump,republican,10469,AL
10,1007.0,2016,Alabama,AL,Bibb,6738.0,Donald Trump,republican,8819,AL
13,1009.0,2016,Alabama,AL,Blount,22859.0,Donald Trump,republican,25588,AL
15,1011.0,2016,Alabama,AL,Bullock,3530.0,Hillary Clinton,democrat,4710,AL
19,1013.0,2016,Alabama,AL,Butler,4901.0,Donald Trump,republican,8732,AL
22,1015.0,2016,Alabama,AL,Calhoun,32865.0,Donald Trump,republican,47864,AL
25,1017.0,2016,Alabama,AL,Chambers,7843.0,Donald Trump,republican,13900,AL
28,1019.0,2016,Alabama,AL,Cherokee,8953.0,Donald Trump,republican,10733,AL
31,1021.0,2016,Alabama,AL,Chilton,15081.0,Donald Trump,republican,18369,AL
34,1023.0,2016,Alabama,AL,Choctaw,4106.0,Donald Trump,republican,7292,AL
37,1025.0,2016,Alabama,AL,Clarke,7140.0,Donald Trump,republican,13031,AL
40,1027.0,2016,Alabama,AL,Clay,5245.0,Donald Trump,republican,6624,AL
43,1029.0,2016,Alabama,AL,Cleburne,5764.0,Donald Trump,republican,6593,AL
46,1031.0,2016,Alabama,AL,Coffee,15875.0,Donald Trump,republican,20767,AL
49,1033.0,2016,Alabama,AL,Colbert,16746.0,Donald Trump,republican,24915,AL
52,1035.0,2016,Alabama,AL,Conecuh,3420.0,Donald Trump,republican,6585,AL
55,1037.0,2016,Alabama,AL,Coosa,3381.0,Donald Trump,republican,5252,AL
58,1039.0,2016,Alabama,AL,Covington,13267.0,Donald Trump,republican,15940,AL
61,1041.0,2016,Alabama,AL,Crenshaw,4513.0,Donald Trump,republican,6267,AL
64,1043.0,2016,Alabama,AL,Cullman,32989.0,Donald Trump,republican,37873,AL
67,1045.0,2016,Alabama,AL,Dale,13808.0,Donald Trump,republican,18749,AL
69,1047.0,2016,Alabama,AL,Dallas,12836.0,Hillary Clinton,democrat,18792,AL
73,1049.0,2016,Alabama,AL,DeKalb,21405.0,Donald Trump,republican,25826,AL
76,1051.0,2016,Alabama,AL,Elmore,27634.0,Donald Trump,republican,37260,AL
79,1053.0,2016,Alabama,AL,Escambia,9935.0,Donald Trump,republican,14845,AL
82,1055.0,2016,Alabama,AL,Etowah,32353.0,Donald Trump,republican,44164,AL
85,1057.0,2016,Alabama,AL,Fayette,6712.0,Donald Trump,republican,8249,AL
88,1059.0,2016,Alabama,AL,Franklin,9466.0,Donald Trump,republican,12040,AL
91,1061.0,2016,Alabama,AL,Geneva,9994.0,Donald Trump,republican,11758,AL
93,1063.0,2016,Alabama,AL,Greene,4013.0,Hillary Clinton,democrat,4880,AL
96,1065.0,2016,Alabama,AL,Hale,4775.0,Hillary Clinton,democrat,8040,AL
