state_district,year,state,district,candidatevotes,candidate,party,totalvotes,state_po
OK - 5,2016,Oklahoma,5,160184,Steve Russell,republican,280570,OK
OR - 1,2016,Oregon,1,225391,Suzanne Bonamici,democrat,378095,OR
OR - 2,2016,Oregon,2,272952,Greg Walden,republican,380739,OR
OR - 3,2016,Oregon,3,274687,Earl Blumenauer,democrat,382355,OR
OR - 4,2016,Oregon,4,220628,Peter A. DeFazio,democrat,397568,OR
OR - 5,2016,Oregon,5,199505,Kurt Schrader,democrat,373108,OR
PA - 1,2016,Pennsylvania,1,245791,Robert A. Brady,democrat,299010,PA
PA - 10,2016,Pennsylvania,10,211282,Tom Marino,republican,301105,PA
PA - 11,2016,Pennsylvania,11,199421,Lou Barletta,republican,313221,PA
PA - 12,2016,Pennsylvania,12,221851,Keith J. Rothfus,republican,359204,PA
PA - 13,2016,Pennsylvania,13,239316,Brendan F. Boyle,democrat,239316,PA
PA - 14,2016,Pennsylvania,14,255293,Michael F. Doyle,democrat,343292,PA
PA - 15,2016,Pennsylvania,15,190618,Charles W. Dent,republican,326474,PA
PA - 16,2016,Pennsylvania,16,168669,Lloyd K. Smucker,republican,313773,PA
PA - 17,2016,Pennsylvania,17,157734,Matt Cartwright,democrat,293164,PA
PA - 18,2016,Pennsylvania,18,293684,Tim Murphy,republican,293684,PA
PA - 2,2016,Pennsylvania,2,322514,Dwight Evans,democrat,357645,PA
PA - 3,2016,Pennsylvania,3,244893,Mike Kelly,republican,244893,PA
PA - 4,2016,Pennsylvania,4,220628,Scott Perry,republican,334000,PA
PA - 5,2016,Pennsylvania,5,206761,Glenn Thompson,republican,307843,PA
PA - 6,2016,Pennsylvania,6,207469,Ryan A. Costello,republican,362469,PA
PA - 7,2016,Pennsylvania,7,225678,Patrick Meehan,republican,379502,PA
PA - 8,2016,Pennsylvania,8,207263,Brian Fitzpatrick,republican,380818,PA
PA - 9,2016,Pennsylvania,9,186580,Bill Shuster,republican,294565,PA
RI - 1,2016,Rhode Island,1,130534,David N. Cicilline,democrat,202371,RI
RI - 2,2016,Rhode Island,2,133108,James R. Langevin,democrat,229148,RI
SC - 1,2016,South Carolina,1,190410,Mark Sanford,republican,325170,SC
SC - 2,2016,South Carolina,2,183746,Joe Wilson,republican,304996,SC
SC - 3,2016,South Carolina,3,196325,Jeff Duncan,republican,269540,SC
SC - 4,2016,South Carolina,4,198648,Trey Gowdy,republican,295670,SC
SC - 5,2016,South Carolina,5,161669,Mick Mulvaney,republican,273006,SC
SC - 6,2016,South Carolina,6,177947,James E. Clyburn,democrat,253901,SC
SC - 7,2016,South Carolina,7,176468,Tom Rice,republican,289463,SC
SD - 0,2016,South Dakota,0,237163,Kristi L. Noem,republican,369973,SD
TN - 1,2016,Tennessee,1,198293,David P. Roe,republican,253025,TN
TN - 2,2016,Tennessee,2,212455,John J. Duncan JR.,republican,280856,TN
TN - 3,2016,Tennessee,3,176613,Charles J. Chuck Fleischmann,republican,266006,TN
TN - 4,2016,Tennessee,4,165796,Scott DesJarlais,republican,254937,TN
TN - 5,2016,Tennessee,5,171111,Jim Cooper,democrat,273544,TN
TN - 6,2016,Tennessee,6,202234,Diane Black,republican,284490,TN
TN - 7,2016,Tennessee,7,200407,Marsha Blackburn,republican,277513,TN
TN - 8,2016,Tennessee,8,194386,David Kustoff,republican,282733,TN
TN - 9,2016,Tennessee,9,171631,Steve Cohen,democrat,217957,TN
TX - 1,2016,Texas,1,192434,Louie Gohmert,republican,260409,TX
TX - 10,2016,Texas,10,179221,Michael T. McCaul,republican,312600,TX
TX - 11,2016,Texas,11,201871,K. Michael Conaway,republican,225548,TX
TX - 12,2016,Texas,12,196482,Kay Granger,republican,283115,TX
TX - 13,2016,Texas,13,199050,Mac Thornberry,republican,221242,TX
TX - 14,2016,Texas,14,160631,Randy K. Weber Sr.,republican,259685,TX
TX - 15,2016,Texas,15,101712,Vicente Gonzalez,democrat,177479,TX
TX - 16,2016,Texas,16,150228,Beto ORourke,democrat,175229,TX
TX - 17,2016,Texas,17,149417,Bill Flores,republican,245728,TX
TX - 18,2016,Texas,18,150157,Sheila Jackson Lee,democrat,204308,TX
TX - 19,2016,Texas,19,176314,Jodey Arrington,republican,203475,TX
TX - 2,2016,Texas,2,168692,Ted Poe,republican,278236,TX
TX - 20,2016,Texas,20,149640,Joaquin Castro,democrat,187669,TX
TX - 21,2016,Texas,21,202967,Lamar Smith,republican,356031,TX
TX - 22,2016,Texas,22,181864,Pete Olson,republican,305543,TX
TX - 23,2016,Texas,23,110577,Will Hurd,republican,228965,TX
TX - 24,2016,Texas,24,154845,Kenny Marchant,republican,275635,TX
TX - 25,2016,Texas,25,180988,Roger Williams,republican,310196,TX
TX - 26,2016,Texas,26,211730,Michael C. Burgess,republican,319080,TX
TX - 27,2016,Texas,27,142251,Blake Farenthold,republican,230580,TX
TX - 28,2016,Texas,28,122086,Henry Cuellar,democrat,184442,TX
TX - 29,2016,Texas,29,95649,Gene Green,democrat,131982,TX
TX - 3,2016,Texas,3,193684,Sam Johnson,republican,316467,TX
TX - 30,2016,Texas,30,170502,Eddie Bernice Johnson,democrat,218826,TX
TX - 31,2016,Texas,31,166060,John R. Carter,republican,284588,TX
TX - 32,2016,Texas,32,162868,Pete Sessions,republican,229171,TX
TX - 33,2016,Texas,33,93147,Marc A. Veasey,democrat,126369,TX
TX - 34,2016,Texas,34,104638,Filemon Vela,democrat,166961,TX
TX - 35,2016,Texas,35,124612,Lloyd Doggett,democrat,197576,TX
TX - 36,2016,Texas,36,193675,Brian Babin,republican,218565,TX
TX - 4,2016,Texas,4,216643,John Ratcliffe,republican,246220,TX
TX - 5,2016,Texas,5,155469,Jeb Hensarling,republican,192875,TX
TX - 6,2016,Texas,6,159444,Joe Barton,republican,273296,TX
TX - 7,2016,Texas,7,143542,John Abney Culberson,republican,255533,TX
TX - 8,2016,Texas,8,236379,Kevin Brady,republican,236379,TX
TX - 9,2016,Texas,9,152032,Al Green,democrat,188523,TX
UT - 1,2016,Utah,1,182925,Rob Bishop,republican,277451,UT
UT - 2,2016,Utah,2,170524,Chris Stewart,republican,276819,UT
UT - 3,2016,Utah,3,209589,Jason Chaffetz,republican,285305,UT
UT - 4,2016,Utah,4,147597,Mia B. Love,republican,274569,UT
VA - 1,2016,Virginia,1,230213,Robert J. Wittman,republican,384601,VA
VA - 10,2016,Virginia,10,210791,Barbara Comstock,republican,400083,VA
VA - 11,2016,Virginia,11,247818,Gerald E. Connolly,democrat,282003,VA
VA - 2,2016,Virginia,2,190475,Scott W. Taylor,republican,310567,VA
VA - 3,2016,Virginia,3,208337,Robert C. Bobby Scott,democrat,312340,VA
VA - 4,2016,Virginia,4,200136,A. Donald McEachin,democrat,346656,VA
VA - 5,2016,Virginia,5,207758,Tom A. Garrett Jr.,republican,356756,VA
VA - 6,2016,Virginia,6,225471,Bob Goodlatte,republican,338409,VA
VA - 7,2016,Virginia,7,218057,Dave Brat,republican,379163,VA
VA - 8,2016,Virginia,8,246653,Donald S. Beyer Jr.,democrat,360676,VA
VA - 9,2016,Virginia,9,212838,H. Morgan Griffith,republican,310314,VA
VT - 0,2016,Vermont,0,264414,Peter Welch,democrat,320467,VT
WA - 1,2016,Washington,1,193619,Suzan K. DelBene,democrat,349398,WA
WA - 10,2016,Washington,10,170460,Denny Heck,democrat,290564,WA
WA - 2,2016,Washington,2,208314,Rick Larsen,democrat,325408,WA
WA - 3,2016,Washington,3,193457,Jaime Herrera Beutler,republican,313277,WA
WA - 4,2016,Washington,4,132517,Dan Newhouse,republican,229919,WA
WA - 5,2016,Washington,5,192959,Cathy McMorris Rodgers,republican,323534,WA
WA - 6,2016,Washington,6,201718,Derek Kilmer,democrat,327834,WA
WA - 7,2016,Washington,7,212010,Pramila Jayapal,democrat,378754,WA
WA - 8,2016,Washington,8,193145,David G. Reichert,republican,320865,WA
WA - 9,2016,Washington,9,205165,Adam Smith,democrat,281482,WA
WI - 1,2016,Wisconsin,1,230072,Paul D. Ryan,republican,354245,WI
WI - 2,2016,Wisconsin,2,273537,Mark Pocan,democrat,398060,WI
WI - 3,2016,Wisconsin,3,257401,Ron Kind,democrat,260370,WI
WI - 4,2016,Wisconsin,4,220181,Gwen Moore,democrat,286909,WI
WI - 5,2016,Wisconsin,5,260706,F. James Sensenbrenner Jr.,republican,390844,WI
WI - 6,2016,Wisconsin,6,204147,Glenn Grothman,republican,357183,WI
WI - 7,2016,Wisconsin,7,223418,Sean P. Duffy,republican,362271,WI
WI - 8,2016,Wisconsin,8,227892,Mike Gallagher,republican,363780,WI
WV - 1,2016,West Virginia,1,163469,David B. McKinley,republican,237003,WV
WV - 2,2016,West Virginia,2,140807,Alexander X. Mooney,republican,242014,WV
WV - 3,2016,West Virginia,3,140741,Evan H. Jenkins,republican,207332,WV
WY - 0,2016,Wyoming,0,156176,Liz Cheney,republican,258788,WY
AK - 0,2018,Alaska,0,149779,Don Young,republican,282166,AK
AL - 1,2018,Alabama,1,153228,Bradley Byrne,republican,242617,AL
AL - 2,2018,Alabama,2,138879,Martha Roby,republican,226230,AL
AL - 3,2018,Alabama,3,147770,Mike Rogers,republican,231915,AL
AL - 4,2018,Alabama,4,184255,Robert Aderholt,republican,230969,AL
AL - 5,2018,Alabama,5,159063,Mo Brooks,republican,260673,AL
AL - 6,2018,Alabama,6,192542,Gary Palmer,republican,278328,AL
AL - 7,2018,Alabama,7,185010,Terri Sewell,democrat,189163,AL
AR - 1,2018,Arkansas,1,138757,Rick Crawford,republican,201245,AR
AR - 2,2018,Arkansas,2,132125,French Hill,republican,253453,AR
AR - 3,2018,Arkansas,3,148717,Steve Womack,republican,229708,AR
AR - 4,2018,Arkansas,4,136740,Bruce Westerman,republican,204892,AR
AZ - 1,2018,Arizona,1,143240,Tom OHalleran,democrat,266089,AZ
AZ - 2,2018,Arizona,2,161000,Ann Kirkpatrick,democrat,294152,AZ
AZ - 3,2018,Arizona,3,114650,Raul Grijalva,democrat,179518,AZ
AZ - 4,2018,Arizona,4,188842,Paul Gosar,republican,277035,AZ
AZ - 5,2018,Arizona,5,186037,Andy Biggs,republican,313064,AZ
AZ - 6,2018,Arizona,6,173140,David Schweikert,republican,313699,AZ
AZ - 7,2018,Arizona,7,113044,Ruben Gallego,democrat,132051,AZ
AZ - 8,2018,Arizona,8,168835,Debbie Lesko,republican,304417,AZ
AZ - 9,2018,Arizona,9,159583,Greg Stanton,democrat,261245,AZ
CA - 1,2018,California,1,160046,Doug La Malfa,republican,291594,CA
CA - 10,2018,California,10,115945,Josh Harder,democrat,221900,CA
CA - 11,2018,California,11,204369,Mark DeSaulnier,democrat,275681,CA
CA - 12,2018,California,12,275292,Nancy Pelosi,democrat,317072,CA
CA - 13,2018,California,13,260580,Barbara Lee,democrat,294837,CA
CA - 14,2018,California,14,211384,Jackie Speier,democrat,266823,CA
CA - 15,2018,California,15,177989,Eric Swalwell,democrat,243929,CA
CA - 16,2018,California,16,82266,Jim Costa,democrat,142959,CA
CA - 17,2018,California,17,159105,Ro Khanna,democrat,211162,CA
CA - 18,2018,California,18,225142,Anna G. Eshoo,democrat,302238,CA
CA - 19,2018,California,19,162496,Zoe Lofgren,democrat,220319,CA
CA - 2,2018,California,2,243081,Jared Huffman,democrat,315657,CA
CA - 20,2018,California,20,183677,Jimmy Panetta,democrat,225721,CA
CA - 21,2018,California,21,57239,TJ Cox,democrat,113616,CA
CA - 22,2018,California,22,117243,Devin G. Nunes,republican,222379,CA
CA - 23,2018,California,23,131113,Kevin McCarthy,republican,205774,CA
CA - 24,2018,California,24,166550,Salud Carbajal,democrat,284431,CA
CA - 25,2018,California,25,133209,Katie Hill,democrat,245022,CA
CA - 26,2018,California,26,158216,Julia Brownley,democrat,255426,CA
CA - 27,2018,California,27,160504,Judy Chu,democrat,202636,CA
CA - 28,2018,California,28,196662,Adam B. Schiff,democrat,250934,CA
CA - 29,2018,California,29,124697,Tony Cardenas,democrat,154692,CA
CA - 3,2018,California,3,134875,John Garamendi,democrat,232251,CA
CA - 30,2018,California,30,191573,Brad Sherman,democrat,260993,CA
CA - 31,2018,California,31,110143,Pete Aguilar,democrat,187495,CA
CA - 32,2018,California,32,121759,Grace Flores Napolitano,democrat,177031,CA
CA - 33,2018,California,33,219091,Ted W. Lieu,democrat,312860,CA
CA - 34,2018,California,34,110195,Jimmy Gomez,democrat,151906,CA
CA - 35,2018,California,35,103420,Norma J. Torres,democrat,149024,CA
CA - 36,2018,California,36,122169,Raul Ruiz,democrat,207008,CA
CA - 37,2018,California,37,210555,Karen Bass,democrat,236378,CA
CA - 38,2018,California,38,139188,Linda T. Sanchez,democrat,202156,CA
CA - 39,2018,California,39,126002,Gil Cisneros,democrat,244393,CA
CA - 4,2018,California,4,184401,Tom McClintock,republican,340654,CA
CA - 40,2018,California,40,93938,Lucille Roybal-Allard,democrat,121449,CA
CA - 41,2018,California,41,108227,Mark Takano,democrat,166248,CA
CA - 42,2018,California,42,131040,Ken Calvert,republican,231932,CA
CA - 43,2018,California,43,152272,Maxine Waters,democrat,196052,CA
CA - 44,2018,California,44,97944,Nanette Diaz Barragan,democrat,143322,CA
CA - 45,2018,California,45,158906,Katie Porter,democrat,305289,CA
CA - 46,2018,California,46,102278,Lou Correa,democrat,147916,CA
CA - 47,2018,California,47,143354,Alan Lowenthal,democrat,221036,CA
CA - 48,2018,California,48,157837,Harley Rouda,democrat,294736,CA
CA - 49,2018,California,49,166453,Mike Levin,democrat,295030,CA
CA - 5,2018,California,5,205860,Mike Thompson,democrat,261018,CA
CA - 50,2018,California,50,134362,Duncan Hunter,republican,259810,CA
CA - 51,2018,California,51,109527,Juan Vargas,democrat,153828,CA
CA - 52,2018,California,52,188992,Scott Peters,democrat,296007,CA
CA - 53,2018,California,53,185667,Susan A. Davis,democrat,268794,CA
CA - 6,2018,California,6,162411,Doris Matsui,democrat,201939,CA
CA - 7,2018,California,7,155016,Ami Bera,democrat,281617,CA
CA - 8,2018,California,8,102415,Paul Cook,republican,170785,CA
CA - 9,2018,California,9,113414,Jerry McNerney,democrat,200763,CA
CO - 1,2018,Colorado,1,272886,Diana DeGette,democrat,369693,CO
CO - 2,2018,Colorado,2,259608,Joe Neguse,democrat,430614,CO
CO - 3,2018,Colorado,3,173205,Scott R. Tipton,republican,336189,CO
CO - 4,2018,Colorado,4,224038,Ken Buck,republican,369582,CO
CO - 5,2018,Colorado,5,184002,Doug Lamborn,republican,322645,CO
CO - 6,2018,Colorado,6,187639,Jason Crow,democrat,346817,CO
CO - 7,2018,Colorado,7,204260,Ed Perlmutter,democrat,338006,CO
CT - 1,2018,Connecticut,1,166155,John B Larson,democrat,274140,CT
CT - 2,2018,Connecticut,2,167659,Joe Courtney,democrat,289114,CT
CT - 3,2018,Connecticut,3,163211,Rosa L DeLauro,democrat,270239,CT
CT - 4,2018,Connecticut,4,168726,Jim Himes,democrat,275651,CT
CT - 5,2018,Connecticut,5,142901,Jahana Hayes,democrat,270664,CT
DE - 0,2018,Delaware,0,227353,Lisa Blunt Rochester,democrat,352737,DE
FL - 1,2018,Florida,1,216189,Matt Gaetz,republican,322388,FL
FL - 10,2018,Florida,10,1,Val Demings,democrat,1,FL
FL - 11,2018,Florida,11,239395,Daniel Webster,republican,367506,FL
FL - 12,2018,Florida,12,194564,Gus Michael Bilirakis,republican,334918,FL
FL - 13,2018,Florida,13,182717,Charlie Crist,democrat,316971,FL
FL - 14,2018,Florida,14,1,Kathy Castor,democrat,1,FL
FL - 15,2018,Florida,15,151380,Ross Spano,republican,285532,FL
FL - 16,2018,Florida,16,197483,Vern Buchanan,republican,361946,FL
FL - 17,2018,Florida,17,193326,Greg Steube,republican,310520,FL
FL - 18,2018,Florida,18,185905,Brian Mast,republican,342359,FL
FL - 19,2018,Florida,19,211465,Francis Rooney,republican,339607,FL
FL - 2,2018,Florida,2,199335,Neal Dunn,republican,295568,FL
FL - 20,2018,Florida,20,202659,Alcee L. Hastings,democrat,202824,FL
FL - 21,2018,Florida,21,1,Lois Frankel,democrat,1,FL
FL - 22,2018,Florida,22,184634,Ted Deutch,democrat,297683,FL
FL - 23,2018,Florida,23,161611,Debbie Wasserman Schultz,democrat,276366,FL
FL - 24,2018,Florida,24,1,Frederica Wilson,democrat,1,FL
FL - 25,2018,Florida,25,128672,Mario Diaz-Balart,republican,212845,FL
FL - 26,2018,Florida,26,119797,Debbie Mucarsel-Powell,democrat,235475,FL
FL - 27,2018,Florida,27,130743,Donna Shalala,democrat,252586,FL
FL - 3,2018,Florida,3,176616,Ted Yoho,republican,306496,FL
FL - 4,2018,Florida,4,248420,John H. Rutherford,republican,381249,FL
FL - 5,2018,Florida,5,180527,Al Lawson,democrat,270326,FL
FL - 6,2018,Florida,6,187891,Michael Waltz,republican,333649,FL
FL - 7,2018,Florida,7,183113,Stephanie Murphy,democrat,317398,FL
FL - 8,2018,Florida,8,218112,Bill Posey,republican,360527,FL
FL - 9,2018,Florida,9,172172,Darren Soto,democrat,296737,FL
GA - 1,2018,Georgia,1,144741,Earl L. Buddy Carter,republican,250683,GA
GA - 10,2018,Georgia,10,190396,Jody Hice,republican,302735,GA
GA - 11,2018,Georgia,11,191887,Barry Loudermilk,republican,310540,GA
GA - 12,2018,Georgia,12,148986,Rick W. Allen,republican,250489,GA
GA - 13,2018,Georgia,13,223157,David Scott,democrat,292917,GA
GA - 14,2018,Georgia,14,175743,Tom Graves,republican,229724,GA
GA - 2,2018,Georgia,2,136699,Sanford Bishop,democrat,229171,GA
GA - 3,2018,Georgia,3,191996,Drew Ferguson,republican,293006,GA
GA - 4,2018,Georgia,4,227717,Henry C Hank Johnson Jr,democrat,288809,GA
GA - 5,2018,Georgia,5,275406,John R. Lewis,democrat,275406,GA
GA - 6,2018,Georgia,6,160139,Lucy McBath,democrat,317014,GA
GA - 7,2018,Georgia,7,140430,Rob Woodall,republican,280441,GA
GA - 8,2018,Georgia,8,198152,Austin Scott,republican,198152,GA
GA - 9,2018,Georgia,9,224661,Doug Collins,republican,282573,GA
HI - 1,2018,Hawaii,1,134650,Ed Case,democrat,184211,HI
HI - 2,2018,Hawaii,2,153271,Tulsi Gabbard,democrat,198121,HI
IA - 1,2018,Iowa,1,170342,Abby Finkenauer,democrat,334243,IA
IA - 2,2018,Iowa,2,171446,Dave Loebsack,democrat,312913,IA
IA - 3,2018,Iowa,3,175642,Cindy Axne,democrat,356241,IA
IA - 4,2018,Iowa,4,157676,Steve King,republican,313251,IA
ID - 1,2018,Idaho,1,197719,Russ Fulcher,republican,315069,ID
ID - 2,2018,Idaho,2,170274,Mike Simpson,republican,280655,ID
IL - 1,2018,Illinois,1,189560,Bobby L. Rush,democrat,257885,IL
IL - 10,2018,Illinois,10,156540,Brad Schneider,democrat,238664,IL
IL - 11,2018,Illinois,11,145407,Bill Foster,democrat,227765,IL
IL - 12,2018,Illinois,12,134884,Mike Bost,republican,261543,IL
IL - 13,2018,Illinois,13,136516,Rodney Davis,republican,270981,IL
IL - 14,2018,Illinois,14,156035,Lauren Underwood,democrat,297199,IL
IL - 15,2018,Illinois,15,181294,John M. Shimkus,republican,255608,IL
IL - 16,2018,Illinois,16,151254,Adam Kinzinger,republican,255825,IL
IL - 17,2018,Illinois,17,142659,Cheri Bustos,democrat,229749,IL
IL - 18,2018,Illinois,18,195927,Darin Lahood,republican,291413,IL
IL - 2,2018,Illinois,2,190684,Robin Kelly,democrat,235251,IL
IL - 3,2018,Illinois,3,163053,Daniel William Lipinski,democrat,223334,IL
IL - 4,2018,Illinois,4,143895,Jesus \Chuy\ Garcia,democrat,166189,IL
IL - 5,2018,Illinois,5,213992,Mike Quigley,democrat,279131,IL
IL - 6,2018,Illinois,6,169001,Sean Casten,democrat,315446,IL
IL - 7,2018,Illinois,7,215746,Danny K. Davis,democrat,246243,IL
IL - 8,2018,Illinois,8,130054,Raja Krishnamoorthi,democrat,197127,IL
IL - 9,2018,Illinois,9,213368,Janice D. Schakowsky,democrat,290351,IL
IN - 1,2018,Indiana,1,159611,Peter J. Visclosky,democrat,245209,IN
IN - 2,2018,Indiana,2,125499,Jackie Walorski,republican,228889,IN
IN - 3,2018,Indiana,3,158927,Jim Banks,republican,245537,IN
IN - 4,2018,Indiana,4,156539,Jim Baird,republican,244363,IN
IN - 5,2018,Indiana,5,180035,Susan W. Brooks,republican,317177,IN
IN - 6,2018,Indiana,6,154260,Greg Pence,republican,241726,IN
IN - 7,2018,Indiana,7,141139,Andre D. Carson,democrat,217596,IN
IN - 8,2018,Indiana,8,157396,Larry D. Bucshon,republican,244291,IN
IN - 9,2018,Indiana,9,153271,Trey Hollingsworth,republican,271361,IN
KS - 1,2018,Kansas,1,153082,Roger Marshall,republican,224640,KS
KS - 2,2018,Kansas,2,126098,Steve Watkins,republican,264688,KS
KS - 3,2018,Kansas,3,170518,Sharice Davids,democrat,318301,KS
KS - 4,2018,Kansas,4,144248,Ron Estes,republican,242693,KS
KY - 1,2018,Kentucky,1,172167,James R. Comer,republican,251016,KY
KY - 2,2018,Kentucky,2,171700,S. Brett Guthrie,republican,257345,KY
KY - 3,2018,Kentucky,3,173002,John A. Yarmuth,democrat,278720,KY
KY - 4,2018,Kentucky,4,162946,Thomas Massie,republican,261812,KY
KY - 5,2018,Kentucky,5,172093,Harold Hal Rogers,republican,218017,KY
KY - 6,2018,Kentucky,6,154468,Andy Barr,republican,302888,KY
LA - 1,2018,Louisiana,1,192555,Steve Scalise,republican,269325,LA
LA - 2,2018,Louisiana,2,190182,Cedric Richmond,democrat,235982,LA
LA - 3,2018,Louisiana,3,136876,Clay Higgins,republican,245943,LA
LA - 4,2018,Louisiana,4,139326,Mike Johnson,republican,216872,LA
LA - 5,2018,Louisiana,5,149018,Ralph Abraham,republican,223946,LA
LA - 6,2018,Louisiana,6,186553,Garret Graves,republican,268525,LA
MA - 1,2018,Massachusetts,1,211790,Richard E. Neal,democrat,216900,MA
MA - 2,2018,Massachusetts,2,191332,James P. McGovern,democrat,284893,MA
MA - 3,2018,Massachusetts,3,173175,Lori Loureiro Trahan,democrat,279327,MA
MA - 4,2018,Massachusetts,4,245289,"Joseph P. Kennedy, III",democrat,251016,MA
MA - 5,2018,Massachusetts,5,236243,Katherine M. Clark,democrat,311324,MA
MA - 6,2018,Massachusetts,6,217703,Seth W. Moulton,democrat,333975,MA
MA - 7,2018,Massachusetts,7,216559,Ayanna S. Pressley,democrat,220411,MA
MA - 8,2018,Massachusetts,8,259159,Stephen F. Lynch,democrat,263307,MA
MA - 9,2018,Massachusetts,9,192347,Bill Keating,democrat,323928,MA
MD - 1,2018,Maryland,1,183662,Andy Harris,republican,306132,MD
MD - 2,2018,Maryland,2,167201,C.A. Dutch Ruppersberger,democrat,253302,MD
MD - 3,2018,Maryland,3,202407,John Sarbanes,democrat,292880,MD
MD - 4,2018,Maryland,4,209642,Anthony G. Brown,democrat,268583,MD
MD - 5,2018,Maryland,5,213796,Steny H. Hoyer,democrat,304209,MD
MD - 6,2018,Maryland,6,163346,David Trone,democrat,276974,MD
MD - 7,2018,Maryland,7,202345,Elijah Cummings,democrat,264710,MD
MD - 8,2018,Maryland,8,217679,Jamie Raskin,democrat,319330,MD
ME - 1,2018,Maine,1,201195,Chellie Pingree,democrat,342053,ME
ME - 2,2018,Maine,2,139231,Jared F. Golden,democrat,281371,ME
MI - 1,2018,Michigan,1,187251,Jack Bergman,republican,332497,MI
MI - 10,2018,Michigan,10,182808,Paul Mitchell,republican,303064,MI
MI - 11,2018,Michigan,11,181912,Haley Stevens,democrat,350901,MI
MI - 12,2018,Michigan,12,200588,Debbie Dingell,democrat,294628,MI
MI - 13,2018,Michigan,13,165355,Rashida Tlaib,democrat,196299,MI
MI - 14,2018,Michigan,14,214334,Brenda Lawrence,democrat,264994,MI
MI - 2,2018,Michigan,2,168970,Bill Huizenga,republican,305463,MI
MI - 3,2018,Michigan,3,169107,Justin Amash,republican,310740,MI
MI - 4,2018,Michigan,4,178510,John Moolenaar,republican,285050,MI
MI - 5,2018,Michigan,5,164502,Daniel T. Kildee,democrat,276413,MI
MI - 6,2018,Michigan,6,147436,Fred Upton,republican,293438,MI
MI - 7,2018,Michigan,7,158730,Tim Walberg,republican,295060,MI
MI - 8,2018,Michigan,8,172880,Elissa Slotkin,democrat,341593,MI
MI - 9,2018,Michigan,9,181734,Andy Levin,democrat,304563,MI
MN - 1,2018,Minnesota,1,146200,Jim Hagedorn,republican,291661,MN
MN - 2,2018,Minnesota,2,177958,Angie Craig,democrat,337968,MN
MN - 3,2018,Minnesota,3,202404,Dean Phillips,democrat,363949,MN
MN - 4,2018,Minnesota,4,216865,Betty McCollum,democrat,328614,MN
MN - 5,2018,Minnesota,5,267703,Ilhan Omar,democrat,343358,MN
MN - 6,2018,Minnesota,6,192931,Tom Emmer,republican,315726,MN
MN - 7,2018,Minnesota,7,146672,Collin C. Peterson,democrat,281509,MN
MN - 8,2018,Minnesota,8,159364,Pete Stauber,republican,314211,MN
MO - 1,2018,Missouri,1,219781,Lacy Clay,democrat,274375,MO
MO - 2,2018,Missouri,2,192477,Ann Wagner,republican,376066,MO
MO - 3,2018,Missouri,3,211243,Blaine Luetkemeyer,republican,324608,MO
MO - 4,2018,Missouri,4,190138,Vicky Hartzler,republican,293316,MO
MO - 5,2018,Missouri,5,175019,"Emanuel Cleaver, II",democrat,283785,MO
MO - 6,2018,Missouri,6,199796,Sam Graves,republican,305409,MO
MO - 7,2018,Missouri,7,196343,Billy Long,republican,296455,MO
MO - 8,2018,Missouri,8,194042,Jason Smith,republican,264399,MO
MS - 1,2018,Mississippi,1,158245,Trent Kelly,republican,236521,MS
MS - 2,2018,Mississippi,2,158921,Bennie G. Thompson,democrat,221379,MS
MS - 3,2018,Mississippi,3,160284,Michael Guest,republican,257271,MS
MS - 4,2018,Mississippi,4,152633,Steven Palazzo,republican,223732,MS
MT - 0,2018,Montana,0,256661,Greg Gianforte,republican,504421,MT
NC - 1,2018,North Carolina,1,190457,G. K. Butterfield,democrat,272675,NC
NC - 10,2018,North Carolina,10,164969,Patrick McHenry,republican,278228,NC
NC - 11,2018,North Carolina,11,178012,Mark Meadows,republican,300666,NC
NC - 12,2018,North Carolina,12,203974,Alma Adams,democrat,279138,NC
NC - 13,2018,North Carolina,13,147570,Ted Budd,republican,286316,NC
NC - 2,2018,North Carolina,2,170072,George Holding,republican,331704,NC
NC - 3,2018,North Carolina,3,187901,Walter B. Jones,republican,187901,NC
NC - 4,2018,North Carolina,4,247067,David Price,democrat,341403,NC
NC - 5,2018,North Carolina,5,159917,Virginia Foxx,republican,280385,NC
NC - 6,2018,North Carolina,6,160709,B. Mark Walker,republican,284360,NC
NC - 7,2018,North Carolina,7,156809,David Rouzer,republican,282312,NC
NC - 8,2018,North Carolina,8,141402,Richard Hudson,republican,255521,NC
NC - 9,2018,North Carolina,9,139246,Mark Harris,republican,282717,NC
ND - 0,2018,North Dakota,0,193568,Kelly Armstrong,republican,321532,ND
NE - 1,2018,Nebraska,1,141712,Jeff Fortenberry,republican,234781,NE
NE - 2,2018,Nebraska,2,126715,Don Bacon,republican,248485,NE
NE - 3,2018,Nebraska,3,163650,Adrian Smith,republican,213304,NE
NH - 1,2018,New Hampshire,1,155884,Chris Pappas,democrat,291039,NH
NH - 2,2018,New Hampshire,2,155358,Anne McLane Kuster,democrat,279705,NH
NJ - 1,2018,New Jersey,1,169628,Donald W. Norcross,democrat,263418,NJ
NJ - 10,2018,New Jersey,10,175253,Donald M. Payne Jr.,democrat,200159,NJ
NJ - 11,2018,New Jersey,11,183684,Mikie Sherrill,democrat,323574,NJ
NJ - 12,2018,New Jersey,12,173334,Bonnie Watson Coleman,democrat,252375,NJ
NJ - 2,2018,New Jersey,2,136685,Jeff Van Drew,democrat,258363,NJ
