state_district,year,state,district,candidatevotes,candidate,party,totalvotes,state_fips,state_po
"AK, 0",2016,Alaska,0,155088,Don Young,republican,308198,2,AK
"AL, 1",2016,Alabama,1,208083,Bradley Byrne,republican,215893,1,AL
"AL, 2",2016,Alabama,2,134886,Martha Roby,republican,276584,1,AL
"AL, 3",2016,Alabama,3,192164,Mike Rogers,republican,287104,1,AL
"AL, 4",2016,Alabama,4,235925,Robert B. Aderholt,republican,239444,1,AL
"AL, 5",2016,Alabama,5,205647,Mo Brooks,republican,308326,1,AL
"AL, 6",2016,Alabama,6,245313,Gary J. Palmer,republican,329306,1,AL
"AL, 7",2016,Alabama,7,229330,Terri A. Sewell,democrat,233028,1,AL
"AR, 1",2016,Arkansas,1,183866,"Eric A. """"Rick"""" Crawford",republican,241047,5,AR
"AR, 2",2016,Arkansas,2,176472,J. French Hill,republican,302464,5,AR
"AR, 3",2016,Arkansas,3,217192,Steve Womack,republican,280907,5,AR
"AR, 4",2016,Arkansas,4,182885,Bruce Westerman,republican,244159,5,AR
"AZ, 1",2016,Arizona,1,142219,Tom O'Halleran,democrat,280710,4,AZ
"AZ, 2",2016,Arizona,2,179806,Martha McSally,republican,315679,4,AZ
"AZ, 3",2016,Arizona,3,148973,Ra_l M. Grijalva,democrat,151035,4,AZ
"AZ, 4",2016,Arizona,4,203487,Paul A. Gosar,republican,284783,4,AZ
"AZ, 5",2016,Arizona,5,205184,Andy Biggs,republican,320124,4,AZ
"AZ, 6",2016,Arizona,6,201578,David Schweikert,republican,324444,4,AZ
"AZ, 7",2016,Arizona,7,119465,Ruben Gallego,democrat,158811,4,AZ
"AZ, 8",2016,Arizona,8,204942,Trent Franks,republican,298971,4,AZ
"AZ, 9",2016,Arizona,9,169055,Kyrsten Sinema,democrat,277507,4,AZ
"CA, 1",2016,California,1,185448,Doug LaMalfa,republican,314036,6,CA
"CA, 10",2016,California,10,124671,Jeff Denham,republican,241141,6,CA
"CA, 11",2016,California,11,214868,Mark DeSaulnier,democrat,298209,6,CA
"CA, 12",2016,California,12,274035,Nancy Pelosi,democrat,338845,6,CA
"CA, 13",2016,California,13,293117,Barbara Lee,democrat,322871,6,CA
"CA, 14",2016,California,14,231630,Jackie Speier,democrat,286447,6,CA
"CA, 15",2016,California,15,198578,Eric Swalwell,democrat,269197,6,CA
"CA, 16",2016,California,16,97473,Jim Costa,democrat,167956,6,CA
"CA, 17",2016,California,17,142268,Ro Khanna,democrat,233192,6,CA
"CA, 18",2016,California,18,230460,Anna G. Eshoo,democrat,323930,6,CA
"CA, 19",2016,California,19,181802,Zoe Lofgren,democrat,245863,6,CA
"CA, 2",2016,California,2,254194,Jared Huffman,democrat,330766,6,CA
"CA, 20",2016,California,20,180980,Jimmy Panetta,democrat,255791,6,CA
"CA, 21",2016,California,21,75126,David G. Valadao,republican,132408,6,CA
"CA, 22",2016,California,22,158755,Devin Nunes,republican,234966,6,CA
"CA, 23",2016,California,23,167116,Kevin McCarthy,republican,241584,6,CA
"CA, 24",2016,California,24,166034,Salud Carbajal,democrat,310814,6,CA
"CA, 25",2016,California,25,138755,Stephen Knight,republican,261161,6,CA
"CA, 26",2016,California,26,169248,Julia Brownley,democrat,280307,6,CA
"CA, 27",2016,California,27,168977,Judy Chu,democrat,250632,6,CA
"CA, 28",2016,California,28,210883,Adam B. Schiff,democrat,270409,6,CA
"CA, 29",2016,California,29,128407,Tony C_rdenas,democrat,171824,6,CA
"CA, 3",2016,California,3,152513,John Garamendi,democrat,256966,6,CA
"CA, 30",2016,California,30,205279,Brad Sherman,democrat,282604,6,CA
"CA, 31",2016,California,31,121070,Pete Aguilar,democrat,215936,6,CA
"CA, 32",2016,California,32,114926,Grace F. Napolitano,democrat,186646,6,CA
"CA, 33",2016,California,33,219397,Ted Lieu,democrat,330219,6,CA
"CA, 34",2016,California,34,122842,Xavier Becerra,democrat,159156,6,CA
"CA, 35",2016,California,35,124044,Norma J. Torres,democrat,171353,6,CA
"CA, 36",2016,California,36,144348,Raul Ruiz,democrat,232617,6,CA
"CA, 37",2016,California,37,192490,Karen Bass,democrat,237272,6,CA
"CA, 38",2016,California,38,163590,Linda T. S_nchez,democrat,232114,6,CA
"CA, 39",2016,California,39,150777,Edward R. Royce,republican,263456,6,CA
"CA, 4",2016,California,4,220133,Tom McClintock,republican,350978,6,CA
"CA, 40",2016,California,40,106554,Lucille Roybal-Allard,democrat,149297,6,CA
"CA, 41",2016,California,41,128164,Mark Takano,democrat,197323,6,CA
"CA, 42",2016,California,42,149547,Ken Calvert,republican,254236,6,CA
"CA, 43",2016,California,43,167017,Maxine Waters,democrat,219516,6,CA
"CA, 44",2016,California,44,93124,Nanette Diaz Barrag神__神_肱,democrat,178413,6,CA
"CA, 45",2016,California,45,182618,Mimi Walters,republican,311849,6,CA
"CA, 46",2016,California,46,115248,Lou Correa,democrat,164593,6,CA
"CA, 47",2016,California,47,154759,Alan S. Lowenthal,democrat,242868,6,CA
